origin,simple
Between friends,Friends
Between friends with benefits,Friends with benefits
Between strangers,Strangers
Between neighbors,Neighbors
Between romantic lovers,Romantic lovers
Landlord and Tenant,Landlord-Tenant
Between fans of opposing sports teams,Fans of opposing sports teams
Man and His Mistress,Man-His Mistress
Between a person and their social media follower,A person-their social media follower
Between pen-friends,Pen-friends
Between a person and their crush,A person-their crush
Ancestor and Descendant,Ancestor-Descendant
Between distant relatives,Distant relatives
Aunt and Niece/Nephew,Aunt-Niece/Nephew
Grandparent and Grandchild,Grandparent-Grandchild
Between adoptive parents and adopted kids,Adoptive parents-adopted kids
Grandparent(mother) and Grandchild,Grandparent(mother)-Grandchild
Uncle and Niece/Nephew,Uncle-Niece/Nephew
Step-parent and Step-child,Step-parent-Step-child
Parent and Infant,Parent-Infant
Reviewer and Writer,Reviewer-Writer
Reader and Writer,Reader-Writer
Victim and Criminal,Victim-Criminal
Criminal and Police officer,Criminal-Police officer
Team Captain and Team Members,Team Captain-Team Members
Chief and Deputy,Chief-Deputy
Supervisor and Subordinate,Supervisor-Subordinate
Television host and Guest,Television host-Guest
Police officer and Offender,Police officer-Offender
Defendant and Plaintiff,Defendant-Plaintiff
Guide and Tourist,Guide-Tourist
Celebrity and Haters,Celebrity-Haters
Doctor and Patient,Doctor-Patient
Doctor and Nurse,Doctor-Nurse
Director and Performer,Director-Performer
Researcher and Research Subject,Researcher-Research Subject
Between diplomats,Diplomats
Entrepreneur and Investor,Entrepreneur-Investor
Between Co-workers,Co-workers
Driver and Passenger,Driver-Passenger
Intern and Employee,Intern-Employee
Superior and Subordinate,Superior-Subordinate
Customer and Businessman,Customer-Businessman
Predecessor and Successor,Predecessor-Successor
Prostitute and Customer,Prostitute-Customer
Dealer and Buyer,Dealer-Buyer
Lawyer and Client,Lawyer-Client
Judge and Lawyer,Judge-Lawyer
Boss and Secretary,Boss-Secretary
Officer and Soldier,Officer-Soldier
Police officer and Civilian,Police officer-Civilian
Manager and Staff,Manager-Staff
Owner and Manager,Owner-Manager
Coach and athlete,Coach-athlete
Consultant and Client,Consultant-Client
Foreman and Laborer,Foreman-Laborer
Customer and Server,Customer-Server
Judge and Contestant,Judge-Contestant
Patient and Caretaker,Patient-Caretaker
Babysitter and Infant,Babysitter-Infant
Criminal and Hostage,Criminal-Hostage
Criminal and Prosecutor,Criminal-Prosecutor
Between religious followers,Religious followers
Religious leader and Congregant,Religious leader-Congregant
Therapist and Patient,Therapist-Patient
Chef and Customer,Chef-Customer
Between life-partners,Life-partners
Volunteer and Organizer,Volunteer-Organizer
Between political allies,Political allies
Politician and Supporter,Politician-Supporter
Athlete and Referee,Athlete-Referee
Between second cousins,Second cousins
Man Wife and Man Mistress,Man Wife-Man Mistress
Between frenemies,Frenemies
Between long-distance lovers,Long-distance lovers
Between a person and their significant other,A person-their significant other
Between companions,Companions
Performer and Audience,Performer-Audience
Brother and Sister,Brother-Sister
Between fraternity brothers,Fraternity brothers
Bride and Bridesmaid,Bride-Bridesmaid
Groom and Groomsman,Groom-Groomsman
Between Facebook Friends,Facebook Friends
Between sports rivals,Sports rivals
Between cohabitants,Cohabitants
Between half-siblings,Half-siblings
Between peers,Peers
Between competitors in sports,Competitors in sports
Athletic trainer and Trainee,Athletic trainer-Trainee
Between twins,Twins
Victim and Witness,Victim-Witness
Representative and Citizen,Representative-Citizen
Man and God,Man-God
Slave and Master,Slave-Master
Mother and Infant,Mother-Infant
Leader and Follower,Leader-Follower
Between soul-mates,Soul-mates
Between a monarch and their minister,A monarch-their minister
Club Member and Club President,Club Member-Club President
Manager and Assistant,Manager-Assistant
Between close relatives,Close relatives
Sugar-daddy and Sugar-baby,Sugar-daddy-Sugar-baby
Between sorority sisters,Sorority sisters
Between church members,Church members
Godparent and Godchild,Godparent-Godchild
Parole officer and Parolee,Parole officer-Parolee
Foster-parent and Foster-child,Foster-parent-Foster-child
Step-grandparent and Step-grandchild,Step-grandparent-Step-grandchild
Between step-siblings,Step-siblings
Between a person and their deceased spouse,A person-their deceased spouse
Union leader and union member,Union leader-union member
Landlord and Housekeeper,Landlord-Housekeeper
Drug dealer and Addict,Drug dealer-Addict
Between criminal and their accomplice,Criminal-their accomplice
Teacher and Student,Teacher-Student
Master and Servant,Master-Servant
Between Close Friends,Close Friends
Fiance and Fiancee,Fiance-Fiancee
Between casual acquaintances,Ccasual acquaintances
Between man and in-laws,Man-in-laws
Between tang cousins,Tang cousins
Between Siblings,Siblings
Between divorced spouses,Divorced spouses
Between a person and their in-laws,A person-their in-laws
Parent and Teenager,Parent-Teenager
Parent and Child,Parent-Child
Wife and Husband,Wife-Husband
Between cousins,Cousins
Guard and Prisoner,Guard-Prisoner
Psychologist and Client,Psychologist-Client
Interviewer and Job applicant,Interviewer-Job applicant
Salesperson and Customer,Salesperson-Customer
Nurse and Patient,Nurse-Patient
Between political opponents,Political opponents
Between teammates in sports,Teammates in sports
Between opposing negotiators,Opposing negotiators
Between business rivals,Business rivals
Between Business Partners,Business Partners
Professor and Graduate student,Professor-Graduate student
Employer and Employee,Employer-Employee
Between enemies,Enemies
