,Parent – Child,Parent – Teenager,Wife – Husband,Fiance – Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between second cousins,Employer – Employee,Interviewer – Job applicant,Guard – Prisoner,Nurse – Patient,Therapist – Patient,Salesperson – Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher – Student,Professor – Graduate student,Master – Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports
Emotional vs Intellectual,16.5,19.037037037037038,15.739583333333334,14.330188679245284,20.72,16.232142857142858,28.25438596491228,39.35,76.12931034482759,84.02884615384616,40.791666666666664,51.3728813559322,46.971698113207545,67.01739130434783,77.30701754385964,74.16666666666667,62.614754098360656,69.18478260869566,23.626373626373628,75.67567567567568,86.20370370370371,52.378151260504204,20.448275862068964,52.82051282051282,37.960629921259844
Informal vs Formal,23.186915887850468,20.72222222222222,16.739583333333332,20.62264150943396,13.57,44.294642857142854,44.68421052631579,24.95,79.40517241379311,89.25,68.39166666666667,67.80508474576271,64.21698113207547,64.6086956521739,67.19298245614036,76.79646017699115,74.95081967213115,71.48913043478261,35.967032967032964,67.2072072072072,70.2803738317757,79.58823529411765,12.469565217391304,34.14529914529915,32.53968253968254
Pleasure vs Work oriented,26.666666666666668,39.357798165137616,11.371134020618557,10.245283018867925,24.71,66.54867256637168,40.224137931034484,26.3625,93.23931623931624,92.55238095238096,93.45833333333333,81.95798319327731,73.85849056603773,81.76724137931035,88.7719298245614,89.8103448275862,89.21311475409836,92.96774193548387,60.76086956521739,81.49549549549549,81.54629629629629,85.94117647058823,8.341880341880342,37.2991452991453,52.78740157480315
Important vs Unimportant to society,12.743119266055047,24.513761467889907,23.84375,33.575471698113205,42.14,63.92920353982301,48.327586206896555,55.4625,30.4017094017094,36.31428571428572,37.63333333333333,18.271186440677965,26.433962264150942,45.258620689655174,33.99122807017544,44.44347826086957,29.5,52.73913043478261,72.61538461538461,15.045045045045045,30.185185185185187,68.44166666666666,32.422413793103445,56.88034188034188,45.89763779527559
Interesting vs Dull,25.26605504587156,33.25688073394495,23.489583333333332,20.660377358490567,30.44,48.3125,49.65217391304348,49.1625,59.80172413793103,51.142857142857146,52.55833333333333,42.932203389830505,36.0188679245283,63.426086956521736,41.1578947368421,35.80701754385965,41.278688524590166,41.56521739130435,32.879120879120876,43.3963963963964,44.30555555555556,62.40833333333333,17.405172413793103,53.15384615384615,26.299212598425196
Intense vs Superficial feelings toward each other,6.527777777777778,18.321100917431192,6.71875,7.028301886792453,16.55,30.663716814159294,42.973684210526315,45.0,68.79310344827586,77.12380952380953,53.19166666666667,53.66386554621849,46.429906542056074,83.65217391304348,50.37719298245614,65.26086956521739,58.67479674796748,62.67391304347826,24.655913978494624,55.333333333333336,59.907407407407405,66.00840336134453,11.777777777777779,66.28205128205128,35.74803149606299
Intense vs Superficial interaction with each other,14.36448598130841,22.12962962962963,14.520833333333334,13.0,24.57,38.401785714285715,48.56140350877193,48.7125,61.0,65.04807692307692,41.80833333333333,45.29661016949152,27.99056603773585,79.28695652173913,40.69298245614035,44.469026548672566,50.49180327868852,52.94565217391305,35.76923076923077,47.34234234234234,52.08411214953271,59.15966386554622,17.678260869565218,67.36752136752136,31.77777777777778
Active vs Inactive,15.917431192660551,27.24074074074074,19.484536082474225,18.547169811320753,24.44,58.769911504424776,51.94736842105263,54.275,33.98290598290598,40.88461538461539,39.108333333333334,32.059322033898304,34.18691588785047,36.560344827586206,27.05263157894737,23.964912280701753,27.13821138211382,37.52173913043478,41.84782608695652,31.27027027027027,36.0462962962963,37.6,20.692307692307693,57.07692307692308,12.299212598425196
Similar vs Different roles and behavior,78.04629629629629,76.10185185185185,23.5625,17.632075471698112,29.42,54.330357142857146,52.228070175438596,30.15,66.4396551724138,70.45192307692308,93.675,78.97457627118644,74.4245283018868,75.54782608695652,22.649122807017545,37.70175438596491,46.59016393442623,36.59782608695652,54.0989010989011,75.27927927927928,61.73148148148148,89.27731092436974,17.698275862068964,38.717948717948715,18.95275590551181
Equal vs Unequal,77.30841121495327,77.35779816513761,20.15625,17.330188679245282,32.59,56.78761061946903,49.41228070175438,23.6375,79.17094017094017,81.82857142857142,96.18333333333334,63.924369747899156,65.69811320754717,54.89655172413793,25.385964912280702,42.23478260869565,44.752066115702476,48.31521739130435,52.01086956521739,78.36936936936937,72.40186915887851,92.51694915254237,15.530434782608696,32.28448275862069,27.888
Productive vs Destructive,17.53271028037383,45.72222222222222,16.520833333333332,15.339622641509434,40.85,77.86607142857143,46.26548672566372,37.425,23.862068965517242,23.14423076923077,69.125,17.110169491525422,13.89622641509434,29.652173913043477,17.79824561403509,44.64601769911504,72.42148760330579,67.3913043478261,92.46153846153847,16.45945945945946,18.317757009345794,52.644067796610166,15.478260869565217,38.474137931034484,17.408
Relaxed vs Tense,30.76851851851852,59.26605504587156,18.24742268041237,19.254716981132077,35.81,86.76106194690266,56.543103448275865,25.2625,55.94017094017094,67.14285714285714,90.475,45.95798319327731,37.0,47.956896551724135,46.271929824561404,82.03448275862068,87.47540983606558,85.38709677419355,93.58695652173913,42.98198198198198,45.74074074074074,72.80672268907563,9.658119658119658,27.54700854700855,41.28346456692913
Fair vs Unfair,31.805555555555557,46.9537037037037,17.875,15.933962264150944,39.15,72.55357142857143,47.64035087719298,29.7625,51.26724137931034,43.46153846153846,72.95,26.61864406779661,22.0188679245283,47.130434782608695,28.80701754385965,51.86842105263158,69.1639344262295,68.28260869565217,79.95604395604396,32.630630630630634,31.52777777777778,80.0,12.508620689655173,32.111111111111114,23.95275590551181
Easy vs Difficult to resolve conflicts with each other,36.654205607476634,62.50925925925926,28.78125,28.17924528301887,48.01,85.65486725663717,57.824561403508774,34.625,46.69230769230769,40.70192307692308,78.55,31.25423728813559,31.650943396226417,41.172413793103445,44.99122807017544,73.1842105263158,87.71900826446281,80.97826086956522,92.82417582417582,39.648648648648646,35.76635514018692,59.483050847457626,19.095652173913045,38.439655172413794,34.44
Altruistic vs Selfish,18.462962962962962,43.333333333333336,16.489583333333332,19.066037735849058,45.84,78.42857142857143,48.175438596491226,38.675,59.13793103448276,56.08653846153846,74.45,21.406779661016948,25.09433962264151,63.31304347826087,47.18421052631579,78.44736842105263,82.63934426229508,86.44565217391305,88.14285714285714,28.81981981981982,35.77777777777778,80.84033613445378,15.741379310344827,46.78632478632478,33.188976377952756
