,IC1,IC2,IC3,IC4,IC5
Between a monarch and their minister,0.1170826657817857,0.014459299688318095,0.0005497587255253025,0.032140337641020575,0.003204155696008169
Between confidants,-0.06540572372311784,-0.07499147735394925,-0.02920527283538997,0.024249428132045586,-0.060909306821391576
Between a person and their significant other,-0.03987887872950479,-0.12847926608363686,-0.10171470784951006,-0.02642028296379193,-0.05220834698108723
Between companions,-0.05348575833434642,-0.10399538047105468,-0.08444705789692518,0.0055531834847507835,-0.04758647886365995
Between playmates,-0.12351049683751668,-0.02036902975695715,-0.031106457351993445,0.09560177412051958,-0.01653695059468814
Between competitors in sports,-0.1015695972706553,0.05997490257472322,-0.04458618465150827,0.09449790791227884,0.1767244112890898
Between a person and their crush,0.006006291101751606,-0.11290631423803707,0.1136441032550853,-0.028258449780692266,-0.006376600680931797
Between cohabitants,-0.10621817834359387,-0.050111485497665594,-0.0760173592504073,-0.02174705405976413,-0.047617537052591245
Between long-distance lovers,-0.08375861496322583,-0.1377302392302022,0.009155406294137572,-0.05558688421174754,-0.0873643631608676
Between brothers-in-arms,0.0097406013258671,0.0017033324724347841,-0.0494572798776078,0.14947253674009023,-0.05279084060732406
