,0
210,Slave and Master
211,Mother and Infant
212,Leader and Follower
213,Between soul-mates
214,Between a monarch and their minister
215,Club Member and Club President
216,Manager and Assistant
217,Between close relatives
218,Sugar-daddy and Sugar-baby
219,Between sorority sisters
220,Between church members
221,Godparent and Godchild
222,Parole officer and Parolee
223,Foster-parent and Foster-child
224,Step-grandparent and Step-grandchild
225,Between step-siblings
226,Between a person and their deceased spouse
227,Union leader and union member
228,Landlord and Housekeeper
229,Drug dealer and Addict
230,Between criminal and their accomplice
231,Teacher and Student
232,Master and Servant
233,Between Close Friends
234,Fiance and Fiancee
235,Between casual acquaintances
236,Between man and in-laws
237,Between tang cousins
238,Between Siblings
239,Between divorced spouses
240,Between a person and their in-laws
241,Parent and Teenager
242,Parent and Child
243,Wife and Husband
244,Between cousins
245,Guard and Prisoner
246,Psychologist and Client
247,Interviewer and Job applicant
248,Salesperson and Customer
249,Nurse and Patient
250,Between political opponents
251,Between teammates in sports
252,Between opposing negotiators
253,Between business rivals
254,Between Business Partners
255,Professor and Graduate student
256,Employer and Employee
257,Between enemies
