,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Natives - Immigrants (Locals - Non-locals / Residents - Non-residents),Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns and Employees
Concreteness,47.0,57.23076923076923,39.27272727272727,50.45454545454545,36.0,25.692307692307693,48.90909090909091,31.25,64.08333333333333,36.5,56.333333333333336,67.0,31.23076923076923,33.54545454545455,66.27272727272727,54.46153846153846,61.18181818181818,62.18181818181818,56.09090909090909,57.27272727272727,56.5,65.42857142857143,58.916666666666664,36.083333333333336,72.58333333333333
Uniqueness,25.75,32.92307692307692,22.181818181818183,22.818181818181817,75.58333333333333,79.91666666666667,64.18181818181819,42.5,34.333333333333336,27.6,36.77777777777778,19.923076923076923,29.46153846153846,36.6,8.909090909090908,27.083333333333332,70.5,16.454545454545453,20.90909090909091,12.454545454545455,27.571428571428573,34.214285714285715,24.583333333333332,35.833333333333336,16.09090909090909
Love Expression,18.0,75.3076923076923,60.45454545454545,31.0,93.66666666666667,98.25,63.90909090909091,64.66666666666667,14.333333333333334,68.1,43.77777777777778,25.53846153846154,40.30769230769231,78.7,16.454545454545453,22.416666666666668,69.5,29.09090909090909,39.81818181818182,19.90909090909091,19.285714285714285,28.142857142857142,37.833333333333336,48.583333333333336,18.727272727272727
Information Exchange,32.25,75.6923076923077,41.81818181818182,54.27272727272727,80.41666666666667,77.16666666666667,67.81818181818181,62.333333333333336,62.916666666666664,82.8,83.33333333333333,70.76923076923077,65.46153846153847,70.8,50.63636363636363,44.666666666666664,50.2,51.90909090909091,80.81818181818181,48.81818181818182,28.285714285714285,74.5,61.333333333333336,46.083333333333336,80.18181818181819
Money Exchange,64.33333333333333,66.15384615384616,29.545454545454547,47.54545454545455,15.666666666666666,2.1666666666666665,35.27272727272727,16.083333333333332,68.25,21.5,75.0,79.53846153846153,24.923076923076923,47.3,67.72727272727273,55.833333333333336,40.2,75.54545454545455,13.181818181818182,65.45454545454545,82.07142857142857,69.0,35.416666666666664,34.333333333333336,46.36363636363637
Goods Exchange,54.0,50.23076923076923,31.727272727272727,52.90909090909091,7.916666666666667,8.416666666666666,33.90909090909091,15.416666666666666,55.583333333333336,20.7,70.22222222222223,85.6923076923077,33.38461538461539,41.5,73.72727272727273,54.583333333333336,28.2,65.81818181818181,17.727272727272727,69.0,76.5,56.07142857142857,36.25,33.583333333333336,46.0
Service Exchange,44.583333333333336,45.61538461538461,45.27272727272727,18.0,13.0,9.833333333333334,41.81818181818182,35.0,69.25,54.1,82.44444444444444,90.15384615384616,70.23076923076923,77.7,60.63636363636363,45.75,41.1,52.18181818181818,75.81818181818181,54.18181818181818,65.85714285714286,69.71428571428571,79.5,36.416666666666664,65.0
Attachment,14.75,64.76923076923077,59.81818181818182,28.727272727272727,92.91666666666667,96.75,55.45454545454545,64.75,21.416666666666668,62.7,45.111111111111114,36.92307692307692,42.46153846153846,70.5,20.454545454545453,22.416666666666668,70.2,16.09090909090909,47.54545454545455,19.0,10.5,32.92857142857143,32.333333333333336,37.333333333333336,23.272727272727273
Mating,27.166666666666668,79.3076923076923,28.272727272727273,26.545454545454547,76.58333333333333,75.83333333333333,32.45454545454545,38.5,13.25,10.5,22.555555555555557,14.384615384615385,18.46153846153846,8.3,14.454545454545455,28.916666666666668,66.5,21.545454545454547,7.090909090909091,15.363636363636363,16.214285714285715,11.642857142857142,9.416666666666666,20.25,11.0
Conflict,72.0,57.07692307692308,32.36363636363637,35.81818181818182,9.5,2.0833333333333335,26.272727272727273,32.083333333333336,41.333333333333336,26.4,34.888888888888886,34.69230769230769,33.38461538461539,22.2,42.72727272727273,31.333333333333332,57.3,66.9090909090909,20.818181818181817,55.81818181818182,73.0,54.642857142857146,35.416666666666664,27.916666666666668,47.27272727272727
Negotiation,45.416666666666664,71.6923076923077,36.72727272727273,71.81818181818181,36.25,33.75,54.54545454545455,54.166666666666664,66.33333333333333,36.8,74.11111111111111,74.23076923076923,64.76923076923077,59.7,73.36363636363636,61.333333333333336,58.2,62.63636363636363,62.0,70.54545454545455,49.357142857142854,57.07142857142857,65.66666666666667,46.916666666666664,68.18181818181819
Coercion,63.75,31.53846153846154,19.181818181818183,24.09090909090909,7.416666666666667,2.5833333333333335,12.090909090909092,16.916666666666668,37.5,15.1,20.11111111111111,17.153846153846153,20.76923076923077,14.3,21.545454545454547,22.75,31.6,60.72727272727273,15.818181818181818,25.90909090909091,54.92857142857143,43.5,20.083333333333332,22.416666666666668,33.63636363636363
Importance for society,52.166666666666664,77.3076923076923,53.81818181818182,73.72727272727273,40.916666666666664,44.0,29.818181818181817,55.583333333333336,63.75,85.6,79.55555555555556,64.3076923076923,81.61538461538461,41.9,53.54545454545455,44.583333333333336,53.7,52.90909090909091,93.81818181818181,56.18181818181818,51.5,64.64285714285714,79.0,49.833333333333336,68.72727272727273
Importance for individuals,26.916666666666668,69.61538461538461,51.54545454545455,30.454545454545453,94.0,90.83333333333333,70.81818181818181,64.08333333333333,43.916666666666664,70.7,69.77777777777777,45.15384615384615,47.92307692307692,62.6,24.0,38.083333333333336,71.0,14.727272727272727,80.63636363636364,41.45454545454545,31.214285714285715,61.357142857142854,57.166666666666664,46.666666666666664,52.45454545454545
Affiliation Coalition,6.0,73.38461538461539,45.27272727272727,71.9090909090909,83.0,79.5,63.36363636363637,65.75,45.416666666666664,69.5,60.77777777777778,45.38461538461539,66.92307692307692,77.4,38.81818181818182,34.25,42.1,18.90909090909091,71.45454545454545,45.0,20.214285714285715,72.35714285714286,51.666666666666664,42.0,62.63636363636363
Occupational,30.333333333333332,38.92307692307692,23.727272727272727,23.90909090909091,9.333333333333334,2.6666666666666665,23.727272727272727,12.833333333333334,90.16666666666667,74.4,79.66666666666667,84.0,56.92307692307692,59.7,32.45454545454545,27.583333333333332,33.0,44.09090909090909,63.36363636363637,37.45454545454545,44.142857142857146,86.57142857142857,49.583333333333336,26.583333333333332,86.45454545454545
Activeness,22.583333333333332,78.07692307692308,56.54545454545455,49.63636363636363,92.41666666666667,89.66666666666667,71.54545454545455,63.75,45.0,62.2,56.666666666666664,45.23076923076923,41.46153846153846,69.8,28.545454545454547,43.0,59.2,24.09090909090909,53.09090909090909,40.72727272727273,27.857142857142858,47.857142857142854,62.583333333333336,43.75,35.27272727272727
Endurance,34.0,82.53846153846153,68.27272727272727,66.27272727272727,94.75,97.41666666666667,73.81818181818181,68.5,24.333333333333332,61.0,30.555555555555557,29.53846153846154,44.61538461538461,56.7,12.454545454545455,29.166666666666668,57.8,42.72727272727273,72.0,55.63636363636363,50.357142857142854,59.857142857142854,43.083333333333336,51.416666666666664,37.36363636363637
Synchronicity,28.083333333333332,69.0,34.09090909090909,43.90909090909091,72.58333333333333,78.83333333333333,57.45454545454545,39.333333333333336,68.25,84.2,70.33333333333333,47.92307692307692,43.07692307692308,60.4,19.545454545454547,24.666666666666668,59.0,14.727272727272727,60.0,32.63636363636363,17.357142857142858,61.57142857142857,64.58333333333333,27.5,74.63636363636364
Spatial Distance,30.583333333333332,77.3076923076923,58.63636363636363,44.72727272727273,92.83333333333333,88.41666666666667,62.18181818181818,70.08333333333333,58.416666666666664,79.1,73.77777777777777,69.84615384615384,51.76923076923077,41.7,31.272727272727273,32.916666666666664,48.7,5.545454545454546,67.81818181818181,25.272727272727273,19.357142857142858,62.42857142857143,70.91666666666667,38.333333333333336,56.36363636363637
Morality,29.833333333333332,73.46153846153847,74.63636363636364,68.18181818181819,89.25,97.58333333333333,67.9090909090909,87.58333333333333,57.416666666666664,89.6,82.33333333333333,69.0,74.38461538461539,57.7,66.0,57.5,52.4,47.36363636363637,92.0,56.45454545454545,50.07142857142857,58.714285714285715,84.75,71.41666666666667,71.45454545454545
Trust,16.916666666666668,62.38461538461539,71.36363636363636,62.45454545454545,92.0,97.83333333333333,69.72727272727273,77.08333333333333,45.166666666666664,77.6,68.77777777777777,60.76923076923077,66.3076923076923,69.0,51.81818181818182,41.166666666666664,57.3,13.818181818181818,87.54545454545455,44.0,21.285714285714285,58.07142857142857,69.66666666666667,55.75,46.09090909090909
Generation Gap,17.333333333333332,17.23076923076923,91.27272727272727,21.272727272727273,85.33333333333333,94.58333333333333,17.90909090909091,95.58333333333333,44.583333333333336,75.4,37.666666666666664,20.307692307692307,44.92307692307692,16.1,22.818181818181817,21.833333333333332,26.3,10.909090909090908,28.454545454545453,27.636363636363637,28.857142857142858,52.5,22.5,30.916666666666668,55.36363636363637
