,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
发小之间,"[100, 92, 98, 94, 100, 100, 82, 100, 98]","[100, 99, 97, 100, 52, 90, 60, 100, 100]","[1, 5, 2, 4, 1, 0, 2, 0, 3]","[56, 47, 53, 32, 7, 100, 46, 0, 65]","[4, 10, 2, 4, 51, 25, 1, 0, 2]","[4, 5, 2, 1, 0, 0, 0, 0, 1]","[100, 64, 99, 75, 97, 100, 79, 100, 100]","[100, 80, 96, 78, 59, 100, 82, 78, 99]","[87, 80, 92, 89, 88, 94, 87, 100, 82]","[67, 73, 100, 87, 80, 100, 79, 89, 98]","[1, 3, 4, 0, 13, 0, 1, 0, 20]","[47, 4, 43, 0, 4, 0, 2, 75, 0]","[92, 97, 94, 83, 87, 100, 79, 73, 9]","[99, 97, 100, 99, 84, 100, 80, 74, 86]","[89, 93, 100, 100, 75, 100, 92, 93, 87]","[71, 98, 85, 55, 10, 100, 15, 38, 98]","[78, 84, 100, 84, 80, 100, 85, 65, 72]","[9, 3, 2, 0, 0, 0, 1, 0, 0]","[75, 67, 100, 80, 78, 49, 82, 100, 78]","[3, 78, 70, 13, 2, 82, 11, 100, 96]","[72, 73, 100, 82, 76, 52, 77, 100, 89]","[86, 70, 99, 80, 95, 93, 83, 100, 83]","[13, 18, 1, 7, 1, 26, 0, 4, 10]","[89, 72, 91, 86, 70, 84, 100, 100, 66]","[55, 76, 0, 1, 1, 2, 0, 4, 70]","[93, 74, 52, 79, 87, 65, 100, 100, 94]","[7, 14, 0, 4, 1, 0, 0, 3, 83]","[89, 86, 93, 92, 91, 88, 99, 94, 79]","[6, 87, 28, 9, 23, 100, 100, 100, 100]","[34, 6, 25, 5, 0, 3, 0, 1, 0]","[9, 17, 13, 6, 1, 2, 25, 1, 0]","[75, 81, 100, 98, 82, 100, 100, 13, 0]","[1, 10, 12, 1, 0, 3, 0, 2, 1]","[73, 93, 100, 94, 50, 94, 100, 63, 71]","[26, 13, 0, 3, 0, 3, 51, 51, 0]"
双胞胎之间,"[100, 93, 96, 75, 82, 52, 64, 100, 59]","[100, 100, 99, 89, 100, 91, 33, 100, 100]","[19, 6, 1, 10, 0, 0, 3, 0, 100]","[58, 12, 89, 20, 51, 91, 48, 0, 91]","[2, 13, 1, 0, 1, 28, 3, 100, 4]","[3, 14, 5, 6, 0, 6, 0, 0, 1]","[5, 7, 0, 6, 100, 0, 4, 0, 4]","[100, 97, 96, 91, 98, 100, 90, 100, 98]","[100, 74, 98, 96, 58, 95, 99, 71, 100]","[100, 100, 100, 100, 94, 100, 100, 100, 100]","[2, 3, 2, 51, 10, 0, 1, 0, 20]","[22, 3, 68, 0, 9, 0, 2, 15, 0]","[90, 95, 100, 100, 98, 100, 99, 100, 94]","[75, 94, 100, 94, 89, 100, 91, 89, 6]","[82, 98, 100, 89, 88, 71, 98, 93, 61]","[86, 98, 74, 59, 19, 0, 2, 0, 17]","[87, 93, 100, 88, 89, 0, 94, 91, 77]","[10, 1, 2, 0, 0, 0, 2, 0, 0]","[78, 66, 100, 79, 79, 54, 100, 100, 84]","[90, 73, 78, 13, 98, 95, 56, 88, 96]","[88, 79, 100, 79, 80, 50, 57, 96, 88]","[82, 87, 95, 85, 99, 94, 94, 100, 93]","[3, 34, 8, 5, 1, 18, 0, 2, 24]","[82, 63, 90, 85, 82, 89, 86, 100, 0]","[1, 95, 52, 91, 1, 0, 100, 52, 0]","[91, 73, 97, 82, 86, 82, 57, 100, 94]","[4, 19, 0, 47, 1, 0, 0, 0, 51]","[83, 94, 78, 89, 100, 100, 100, 100, 100]","[7, 85, 50, 7, 0, 100, 100, 100, 100]","[2, 9, 13, 6, 0, 3, 0, 2, 0]","[25, 21, 81, 4, 1, 3, 10, 1, 0]","[72, 83, 87, 3, 52, 100, 4, 3, 0]","[0, 9, 11, 1, 0, 4, 0, 1, 0]","[80, 89, 79, 84, 51, 93, 64, 52, 78]","[23, 51, 0, 5, 49, 4, 50, 52, 0]"
掌柜-客人,"[71, 89, 94, 77, 100, 100, 75, 100, 81]","[65, 37, 5, 40, 52, 0, 57, 100, 100]","[100, 88, 2, 18, 13, 100, 4, 100, 7]","[100, 88, 63, 73, 100, 0, 100, 100, 81]","[100, 83, 94, 100, 100, 100, 27, 100, 100]","[3, 14, 2, 0, 0, 100, 1, 0, 0]","[70, 77, 26, 81, 100, 0, 80, 100, 100]","[54, 15, 3, 5, 9, 10, 57, 0, 1]","[3, 17, 3, 0, 0, 24, 4, 0, 4]","[3, 5, 3, 0, 10, 0, 1, 0, 11]","[78, 97, 100, 100, 89, 0, 98, 100, 88]","[70, 15, 66, 97, 65, 0, 2, 37, 88]","[6, 4, 7, 0, 12, 0, 1, 79, 7]","[67, 3, 52, 51, 9, 100, 15, 59, 23]","[6, 3, 1, 0, 11, 0, 2, 50, 10]","[46, 3, 55, 95, 87, 100, 99, 76, 90]","[11, 1, 3, 2, 9, 0, 2, 0, 0]","[43, 2, 2, 0, 52, 0, 1, 0, 0]","[71, 64, 0, 49, 2, 10, 0, 51, 16]","[45, 81, 100, 69, 96, 100, 100, 83, 95]","[41, 22, 0, 13, 5, 0, 0, 19, 9]","[4, 11, 0, 5, 1, 0, 14, 53, 5]","[86, 82, 100, 85, 52, 33, 100, 76, 86]","[40, 32, 79, 3, 1, 0, 76, 68, 97]","[7, 11, 0, 1, 1, 0, 0, 5, 0]","[59, 66, 0, 2, 2, 28, 52, 55, 70]","[1, 19, 69, 7, 1, 71, 0, 2, 52]","[86, 92, 100, 85, 97, 81, 89, 4, 83]","[85, 85, 100, 95, 100, 100, 100, 100, 100]","[90, 93, 100, 91, 100, 100, 100, 85, 100]","[12, 16, 8, 3, 1, 18, 49, 21, 0]","[30, 81, 100, 5, 81, 48, 100, 27, 79]","[88, 86, 100, 55, 100, 100, 100, 97, 100]","[59, 72, 41, 88, 51, 59, 60, 47, 75]","[16, 12, 0, 4, 0, 2, 11, 7, 0]"
表兄弟姐妹之间,"[94, 88, 96, 80, 50, 46, 65, 77, 67]","[100, 100, 96, 46, 95, 79, 89, 100, 50]","[100, 4, 3, 15, 58, 18, 3, 0, 100]","[48, 43, 33, 27, 8, 68, 45, 0, 83]","[0, 14, 27, 3, 0, 19, 2, 0, 51]","[3, 14, 3, 3, 0, 19, 0, 0, 1]","[57, 17, 2, 25, 97, 76, 5, 0, 3]","[100, 69, 80, 78, 54, 45, 80, 100, 76]","[81, 82, 74, 87, 54, 75, 84, 100, 88]","[1, 75, 100, 87, 63, 100, 88, 61, 20]","[9, 2, 4, 52, 8, 0, 2, 0, 21]","[21, 2, 66, 0, 10, 0, 2, 70, 55]","[87, 96, 83, 92, 90, 100, 94, 89, 79]","[22, 88, 100, 82, 66, 100, 82, 59, 31]","[83, 95, 92, 92, 78, 55, 90, 96, 61]","[82, 79, 88, 44, 18, 55, 16, 16, 55]","[76, 73, 79, 65, 67, 0, 82, 67, 60]","[38, 1, 2, 0, 0, 0, 22, 0, 68]","[60, 37, 78, 22, 67, 59, 28, 92, 51]","[21, 58, 12, 44, 2, 84, 0, 75, 49]","[84, 30, 90, 70, 50, 51, 52, 81, 69]","[73, 66, 78, 66, 63, 83, 50, 92, 42]","[25, 16, 19, 9, 1, 19, 0, 22, 18]","[72, 67, 65, 73, 58, 84, 56, 94, 75]","[54, 67, 54, 86, 1, 0, 0, 59, 69]","[76, 66, 68, 79, 80, 94, 47, 92, 64]","[1, 14, 0, 5, 10, 0, 0, 3, 7]","[33, 80, 23, 76, 63, 69, 49, 82, 73]","[23, 88, 100, 6, 23, 100, 61, 100, 100]","[7, 10, 21, 14, 0, 2, 0, 2, 0]","[7, 16, 72, 6, 24, 3, 54, 4, 14]","[88, 79, 52, 4, 81, 93, 75, 22, 0]","[1, 9, 49, 3, 0, 4, 0, 2, 0]","[93, 75, 50, 86, 79, 90, 60, 54, 78]","[38, 8, 0, 3, 0, 2, 53, 2, 0]"
犯罪同伙之间,"[49, 88, 3, 56, 88, 100, 56, 100, 86]","[100, 100, 96, 71, 96, 11, 76, 100, 100]","[0, 16, 2, 7, 0, 89, 2, 0, 7]","[100, 92, 95, 100, 51, 0, 100, 100, 79]","[78, 76, 93, 70, 96, 85, 53, 100, 100]","[55, 12, 75, 72, 70, 27, 56, 0, 45]","[87, 58, 93, 70, 100, 100, 89, 100, 100]","[51, 64, 12, 42, 49, 100, 62, 0, 96]","[50, 25, 89, 92, 59, 78, 3, 0, 17]","[55, 4, 20, 69, 75, 100, 2, 14, 8]","[1, 14, 48, 52, 70, 100, 83, 0, 16]","[59, 3, 10, 100, 13, 0, 2, 23, 33]","[13, 3, 16, 74, 32, 0, 53, 15, 12]","[74, 2, 2, 73, 77, 47, 97, 39, 21]","[5, 2, 3, 52, 11, 0, 37, 2, 8]","[60, 39, 42, 58, 59, 100, 97, 85, 35]","[24, 2, 2, 51, 38, 0, 8, 1, 8]","[4, 2, 2, 0, 27, 0, 22, 0, 24]","[66, 14, 83, 15, 63, 48, 74, 65, 25]","[91, 82, 100, 76, 97, 92, 100, 81, 94]","[55, 7, 69, 3, 1, 0, 0, 25, 12]","[1, 15, 43, 17, 0, 0, 61, 55, 12]","[88, 73, 95, 97, 99, 90, 100, 89, 92]","[73, 14, 74, 92, 96, 68, 71, 29, 81]","[4, 5, 0, 1, 1, 0, 0, 61, 0]","[94, 82, 100, 95, 98, 94, 100, 87, 96]","[12, 15, 84, 7, 89, 0, 0, 2, 100]","[78, 62, 24, 76, 91, 50, 99, 74, 3]","[1, 11, 15, 6, 14, 17, 0, 2, 100]","[100, 70, 90, 28, 90, 95, 77, 83, 100]","[36, 25, 81, 81, 43, 41, 66, 17, 26]","[83, 85, 87, 92, 82, 48, 100, 98, 100]","[19, 22, 0, 1, 80, 65, 100, 92, 0]","[0, 12, 0, 2, 0, 3, 0, 3, 3]","[42, 6, 0, 4, 0, 2, 51, 35, 0]"
文选(诗集)的编者-作者,"[77, 91, 89, 100, 100, 100, 60, 100, 82]","[100, 88, 7, 80, 52, 89, 97, 53, 100]","[54, 80, 3, 60, 0, 0, 2, 100, 99]","[12, 18, 3, 25, 0, 100, 7, 0, 28]","[2, 11, 2, 2, 0, 0, 1, 100, 72]","[4, 14, 3, 4, 0, 0, 0, 0, 1]","[100, 80, 37, 31, 0, 0, 77, 100, 100]","[100, 21, 27, 37, 50, 84, 40, 0, 15]","[49, 84, 15, 37, 100, 100, 70, 0, 14]","[3, 97, 76, 49, 79, 100, 1, 68, 100]","[39, 97, 4, 51, 10, 100, 17, 5, 20]","[37, 91, 86, 83, 74, 0, 35, 26, 94]","[10, 5, 74, 54, 74, 100, 1, 66, 100]","[83, 91, 93, 100, 49, 100, 44, 39, 93]","[61, 2, 74, 52, 1, 75, 2, 55, 97]","[86, 3, 40, 0, 12, 100, 74, 1, 0]","[22, 31, 95, 87, 9, 0, 3, 20, 97]","[13, 97, 78, 0, 72, 100, 1, 17, 99]","[70, 30, 53, 55, 10, 40, 31, 57, 100]","[55, 10, 100, 76, 55, 0, 100, 2, 41]","[65, 22, 16, 23, 1, 0, 57, 25, 85]","[55, 5, 0, 28, 1, 0, 61, 21, 84]","[67, 23, 93, 43, 66, 10, 100, 29, 10]","[68, 68, 6, 91, 49, 18, 100, 55, 97]","[3, 0, 0, 2, 1, 0, 0, 4, 0]","[73, 64, 52, 4, 56, 2, 100, 85, 98]","[7, 70, 56, 7, 1, 91, 86, 3, 50]","[30, 19, 0, 40, 50, 4, 56, 4, 47]","[77, 96, 100, 93, 49, 100, 100, 100, 100]","[22, 15, 0, 7, 0, 11, 43, 100, 0]","[3, 9, 0, 3, 0, 3, 76, 2, 0]","[85, 45, 0, 4, 0, 2, 100, 91, 0]","[67, 61, 100, 36, 0, 33, 100, 100, 0]","[87, 86, 100, 80, 77, 97, 62, 50, 100]","[1, 5, 0, 5, 0, 4, 7, 4, 0]"
司法人员-监察人员,"[73, 64, 16, 89, 0, 100, 49, 59, 84]","[100, 39, 19, 87, 0, 17, 65, 53, 9]","[100, 99, 98, 80, 100, 96, 51, 100, 100]","[14, 38, 24, 20, 0, 92, 3, 0, 32]","[0, 27, 3, 2, 0, 18, 0, 0, 2]","[31, 67, 50, 0, 70, 0, 0, 50, 11]","[73, 29, 2, 51, 0, 100, 79, 0, 100]","[73, 16, 30, 15, 4, 54, 64, 0, 57]","[50, 55, 38, 67, 0, 83, 89, 0, 96]","[8, 31, 64, 0, 74, 0, 1, 55, 12]","[1, 2, 47, 0, 9, 0, 0, 0, 0]","[89, 98, 100, 100, 91, 100, 97, 85, 98]","[15, 93, 60, 4, 36, 0, 97, 80, 5]","[96, 36, 51, 0, 33, 100, 97, 65, 77]","[8, 2, 80, 0, 7, 0, 1, 29, 12]","[83, 4, 55, 0, 13, 100, 75, 1, 100]","[3, 2, 38, 0, 32, 0, 2, 1, 0]","[4, 2, 2, 0, 30, 0, 87, 0, 0]","[75, 19, 0, 2, 51, 89, 0, 29, 17]","[66, 75, 100, 27, 98, 64, 48, 65, 50]","[35, 13, 0, 1, 1, 0, 0, 20, 0]","[2, 8, 0, 44, 2, 0, 0, 52, 0]","[79, 87, 100, 42, 89, 100, 100, 54, 98]","[79, 67, 13, 64, 2, 98, 100, 76, 81]","[2, 9, 0, 3, 1, 0, 0, 5, 0]","[81, 52, 0, 1, 46, 71, 53, 85, 49]","[90, 75, 100, 95, 93, 100, 84, 92, 100]","[38, 51, 54, 72, 90, 75, 88, 39, 62]","[89, 78, 100, 97, 100, 100, 56, 100, 100]","[2, 22, 53, 6, 0, 32, 0, 2, 0]","[12, 64, 72, 32, 58, 33, 100, 58, 39]","[65, 38, 56, 5, 0, 55, 75, 95, 0]","[100, 100, 100, 100, 100, 100, 100, 95, 100]","[95, 85, 97, 62, 76, 93, 100, 78, 94]","[0, 8, 0, 5, 0, 4, 50, 4, 0]"
嫌犯-捕快,"[3, 15, 2, 26, 0, 0, 3, 0, 2]","[85, 0, 9, 8, 0, 6, 91, 100, 100]","[100, 85, 90, 11, 80, 100, 52, 100, 100]","[100, 82, 99, 93, 100, 76, 8, 100, 88]","[39, 73, 1, 53, 0, 19, 2, 100, 2]","[87, 90, 93, 92, 100, 0, 86, 100, 14]","[3, 20, 1, 15, 0, 0, 3, 0, 100]","[80, 18, 4, 11, 3, 3, 4, 0, 5]","[2, 27, 3, 18, 0, 0, 2, 0, 2]","[2, 2, 16, 0, 61, 0, 2, 2, 9]","[2, 2, 4, 0, 7, 0, 2, 0, 0]","[83, 95, 100, 100, 94, 100, 92, 69, 24]","[13, 2, 40, 2, 13, 0, 2, 2, 6]","[2, 1, 2, 0, 0, 0, 1, 0, 0]","[8, 2, 5, 0, 8, 0, 3, 0, 13]","[2, 3, 2, 0, 12, 0, 2, 0, 18]","[6, 1, 2, 0, 4, 0, 2, 1, 0]","[18, 2, 2, 0, 52, 0, 1, 0, 0]","[77, 14, 0, 3, 2, 4, 100, 19, 0]","[37, 65, 100, 73, 98, 100, 100, 72, 96]","[11, 12, 0, 3, 1, 1, 0, 4, 0]","[3, 9, 0, 2, 1, 0, 0, 2, 0]","[95, 84, 100, 89, 94, 93, 100, 80, 98]","[5, 13, 0, 2, 1, 0, 0, 2, 0]","[1, 3, 0, 1, 1, 0, 0, 3, 0]","[1, 9, 0, 2, 3, 0, 0, 2, 0]","[4, 24, 100, 70, 85, 0, 0, 3, 88]","[88, 31, 54, 85, 100, 73, 87, 4, 70]","[88, 50, 100, 93, 100, 85, 82, 85, 100]","[2, 21, 25, 4, 0, 24, 0, 3, 0]","[70, 94, 71, 93, 100, 100, 100, 100, 100]","[2, 13, 0, 6, 0, 2, 0, 3, 0]","[100, 97, 100, 95, 100, 100, 100, 95, 100]","[19, 93, 67, 65, 0, 51, 0, 2, 50]","[14, 6, 0, 4, 0, 4, 49, 7, 0]"
同父异母(或同母异父)的子女之间,"[63, 34, 7, 14, 45, 19, 43, 30, 32]","[87, 82, 94, 38, 81, 51, 13, 12, 28]","[87, 22, 2, 25, 94, 74, 25, 0, 95]","[83, 39, 26, 16, 51, 68, 44, 0, 81]","[51, 15, 74, 12, 6, 52, 2, 0, 2]","[17, 15, 4, 70, 0, 21, 0, 48, 3]","[39, 20, 3, 4, 100, 51, 4, 0, 2]","[72, 67, 5, 72, 56, 85, 87, 100, 99]","[83, 82, 41, 100, 54, 13, 100, 13, 98]","[61, 98, 82, 87, 82, 100, 76, 93, 14]","[7, 2, 10, 0, 13, 0, 2, 0, 27]","[38, 2, 83, 0, 13, 0, 1, 75, 25]","[73, 94, 75, 90, 88, 100, 98, 77, 28]","[10, 25, 90, 71, 70, 44, 87, 73, 26]","[79, 92, 64, 87, 73, 52, 78, 96, 28]","[81, 79, 77, 44, 25, 0, 2, 3, 78]","[71, 61, 68, 57, 76, 0, 77, 58, 28]","[7, 3, 88, 0, 0, 0, 0, 0, 61]","[27, 27, 77, 25, 36, 69, 67, 75, 19]","[60, 65, 67, 12, 1, 83, 0, 86, 28]","[69, 38, 62, 78, 68, 52, 76, 67, 36]","[62, 63, 78, 11, 49, 91, 74, 78, 30]","[87, 63, 63, 82, 2, 31, 0, 14, 8]","[38, 31, 63, 91, 14, 81, 74, 75, 91]","[2, 66, 52, 93, 1, 0, 0, 45, 28]","[57, 57, 66, 82, 94, 64, 17, 81, 64]","[10, 18, 0, 4, 1, 0, 0, 2, 8]","[24, 83, 53, 91, 100, 79, 93, 3, 73]","[13, 88, 65, 8, 24, 100, 100, 100, 100]","[13, 18, 69, 11, 0, 9, 18, 2, 0]","[55, 43, 73, 84, 51, 3, 55, 3, 12]","[67, 79, 79, 3, 71, 90, 41, 2, 0]","[15, 13, 50, 4, 0, 4, 0, 2, 0]","[17, 81, 27, 80, 52, 75, 61, 39, 78]","[34, 9, 0, 3, 0, 4, 52, 29, 1]"
同场次中科举者之间,"[84, 38, 3, 5, 26, 100, 60, 0, 90]","[92, 84, 96, 29, 96, 94, 76, 100, 100]","[100, 80, 3, 79, 68, 18, 52, 100, 8]","[58, 51, 36, 67, 8, 91, 61, 0, 86]","[54, 16, 2, 64, 0, 0, 0, 100, 64]","[3, 13, 4, 7, 0, 5, 0, 0, 0]","[4, 38, 2, 9, 100, 100, 4, 0, 100]","[69, 15, 6, 24, 67, 80, 5, 0, 30]","[48, 74, 26, 90, 21, 53, 51, 0, 70]","[6, 51, 86, 18, 13, 100, 35, 12, 16]","[3, 4, 4, 52, 9, 0, 63, 0, 11]","[87, 3, 68, 100, 13, 100, 34, 100, 99]","[42, 3, 81, 93, 12, 100, 15, 65, 93]","[24, 19, 52, 51, 52, 100, 16, 49, 79]","[28, 2, 61, 85, 12, 0, 27, 50, 12]","[87, 45, 82, 99, 9, 100, 92, 80, 100]","[64, 1, 78, 52, 20, 0, 5, 0, 0]","[6, 2, 2, 0, 29, 0, 1, 0, 0]","[39, 23, 82, 2, 3, 40, 47, 88, 93]","[77, 81, 67, 89, 98, 100, 91, 100, 94]","[25, 26, 63, 2, 11, 0, 56, 67, 95]","[54, 15, 0, 1, 20, 0, 49, 70, 13]","[90, 57, 94, 91, 13, 65, 0, 27, 66]","[90, 55, 80, 12, 24, 69, 100, 68, 95]","[2, 1, 0, 2, 1, 0, 0, 5, 0]","[77, 33, 88, 2, 81, 70, 87, 81, 94]","[100, 73, 100, 98, 97, 100, 100, 100, 100]","[31, 62, 25, 77, 63, 53, 5, 63, 47]","[79, 78, 100, 91, 100, 100, 100, 97, 100]","[63, 16, 54, 3, 0, 11, 0, 20, 0]","[68, 61, 72, 96, 51, 2, 35, 36, 67]","[66, 84, 88, 91, 89, 81, 4, 74, 100]","[90, 27, 76, 3, 100, 26, 100, 26, 100]","[54, 70, 97, 60, 76, 74, 60, 70, 76]","[0, 0, 0, 5, 0, 4, 0, 3, 0]"
罪犯-受害人,"[3, 0, 2, 0, 0, 0, 0, 0, 1]","[3, 81, 19, 61, 53, 12, 1, 100, 100]","[4, 85, 2, 20, 0, 100, 51, 100, 5]","[82, 52, 93, 95, 99, 84, 100, 0, 22]","[57, 83, 0, 69, 82, 19, 2, 100, 2]","[100, 92, 97, 87, 100, 100, 43, 100, 100]","[3, 8, 1, 9, 0, 0, 3, 0, 100]","[31, 31, 4, 5, 10, 0, 6, 0, 18]","[0, 16, 5, 7, 0, 0, 2, 0, 4]","[4, 2, 2, 0, 18, 100, 1, 0, 9]","[3, 1, 4, 0, 0, 0, 96, 0, 0]","[80, 1, 35, 100, 77, 100, 22, 25, 20]","[23, 2, 37, 0, 16, 0, 2, 0, 6]","[2, 3, 2, 0, 0, 0, 2, 0, 0]","[9, 3, 55, 0, 0, 0, 1, 1, 11]","[1, 2, 2, 0, 8, 0, 2, 0, 0]","[2, 2, 3, 0, 0, 0, 2, 0, 0]","[5, 2, 2, 0, 50, 0, 1, 0, 0]","[63, 10, 0, 1, 2, 1, 100, 26, 0]","[3, 62, 100, 81, 99, 100, 100, 86, 97]","[4, 16, 0, 2, 0, 0, 0, 2, 0]","[1, 7, 0, 1, 1, 0, 0, 2, 6]","[79, 23, 100, 90, 93, 94, 100, 92, 94]","[4, 12, 0, 2, 1, 0, 0, 2, 0]","[1, 15, 0, 1, 1, 0, 0, 54, 0]","[1, 12, 0, 2, 1, 0, 0, 2, 0]","[7, 15, 0, 8, 1, 0, 0, 2, 18]","[86, 60, 90, 93, 100, 46, 88, 4, 68]","[12, 12, 18, 9, 100, 39, 0, 6, 5]","[77, 64, 36, 2, 51, 26, 65, 94, 0]","[97, 98, 99, 93, 100, 100, 100, 100, 100]","[4, 19, 0, 1, 0, 2, 0, 2, 0]","[5, 17, 100, 2, 0, 4, 0, 1, 100]","[13, 9, 0, 3, 0, 3, 0, 3, 0]","[29, 9, 0, 4, 0, 6, 0, 6, 0]"
店主-顾客,"[67, 90, 97, 82, 100, 100, 73, 100, 85]","[80, 26, 20, 76, 53, 100, 45, 81, 100]","[100, 80, 2, 7, 12, 100, 3, 100, 6]","[100, 88, 94, 92, 100, 0, 100, 100, 66]","[100, 78, 93, 88, 100, 100, 28, 0, 99]","[4, 14, 2, 6, 0, 100, 0, 0, 0]","[55, 80, 1, 72, 100, 0, 81, 100, 100]","[40, 19, 5, 11, 9, 100, 59, 0, 6]","[0, 14, 2, 17, 0, 0, 6, 0, 4]","[4, 5, 3, 0, 13, 0, 2, 0, 11]","[83, 97, 100, 100, 85, 100, 99, 100, 100]","[80, 47, 49, 100, 10, 0, 8, 58, 94]","[20, 3, 3, 0, 11, 0, 1, 81, 9]","[74, 32, 54, 0, 12, 100, 72, 65, 31]","[13, 2, 3, 0, 11, 0, 1, 48, 14]","[37, 2, 45, 61, 86, 100, 100, 77, 45]","[2, 1, 0, 2, 10, 0, 2, 0, 0]","[44, 3, 2, 0, 42, 0, 1, 0, 0]","[3, 64, 0, 71, 2, 39, 0, 45, 17]","[70, 76, 100, 84, 1, 100, 100, 87, 96]","[43, 16, 0, 5, 1, 0, 0, 20, 10]","[2, 12, 0, 3, 1, 0, 21, 38, 81]","[87, 77, 100, 86, 57, 17, 100, 67, 81]","[71, 36, 79, 4, 8, 0, 76, 71, 96]","[4, 9, 0, 2, 1, 0, 0, 5, 0]","[62, 72, 0, 3, 2, 28, 15, 53, 63]","[5, 17, 44, 3, 1, 0, 0, 3, 27]","[91, 83, 100, 97, 96, 84, 100, 12, 72]","[91, 85, 100, 97, 100, 100, 100, 100, 100]","[80, 89, 100, 86, 100, 100, 100, 100, 100]","[7, 5, 0, 8, 1, 12, 57, 2, 0]","[27, 89, 100, 3, 79, 50, 100, 95, 68]","[97, 89, 100, 53, 100, 100, 100, 95, 100]","[55, 88, 42, 76, 51, 72, 61, 52, 49]","[12, 10, 0, 6, 0, 2, 52, 14, 0]"
将领-士兵,"[86, 88, 4, 82, 94, 52, 52, 100, 92]","[3, 0, 3, 11, 0, 100, 2, 0, 9]","[100, 100, 38, 82, 99, 83, 50, 100, 100]","[87, 36, 4, 9, 49, 84, 100, 0, 62]","[74, 64, 2, 53, 51, 0, 30, 0, 2]","[61, 13, 93, 65, 58, 27, 40, 100, 6]","[0, 23, 9, 37, 59, 0, 40, 0, 100]","[92, 35, 19, 82, 57, 74, 39, 100, 98]","[52, 27, 10, 78, 0, 54, 55, 0, 79]","[13, 4, 59, 18, 15, 0, 1, 14, 8]","[60, 94, 82, 91, 72, 100, 1, 72, 21]","[78, 96, 100, 100, 97, 100, 97, 86, 84]","[41, 57, 59, 86, 29, 0, 68, 80, 5]","[83, 86, 77, 90, 68, 100, 97, 89, 80]","[14, 3, 72, 56, 23, 0, 70, 49, 15]","[67, 3, 59, 91, 12, 0, 17, 7, 86]","[59, 4, 2, 74, 73, 0, 34, 12, 37]","[91, 98, 81, 94, 60, 100, 78, 0, 0]","[72, 72, 85, 82, 31, 59, 100, 78, 17]","[92, 92, 94, 83, 32, 93, 100, 89, 93]","[65, 33, 80, 79, 73, 4, 60, 59, 29]","[2, 9, 67, 61, 1, 6, 97, 61, 12]","[55, 59, 94, 91, 98, 62, 100, 77, 92]","[44, 69, 76, 74, 98, 70, 57, 70, 57]","[2, 10, 0, 2, 1, 0, 0, 6, 0]","[90, 88, 98, 97, 98, 100, 100, 91, 97]","[89, 85, 100, 98, 98, 100, 97, 46, 88]","[74, 71, 91, 97, 100, 66, 47, 87, 97]","[89, 88, 100, 92, 100, 100, 100, 100, 100]","[2, 17, 55, 14, 0, 60, 0, 41, 0]","[13, 16, 69, 5, 1, 9, 71, 2, 58]","[1, 21, 20, 3, 8, 66, 100, 95, 0]","[100, 92, 100, 61, 100, 100, 100, 93, 100]","[91, 85, 96, 82, 100, 93, 84, 50, 68]","[1, 5, 0, 5, 0, 3, 3, 15, 0]"
