,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Religious leader and Congregant,0.395749612,-1.290773489,-0.03701423,-0.094618235,0.693650796,-0.260542834,0.535811028,-0.155234163,-1.15683912,0.055677437,-1.749375592,-0.911275466,0.006100174,0.829027466,-0.034795406,-0.634608974,0.49112672,0.456470626,-0.511979289,-0.629314368,-0.406359272,0.186871728,-0.240709376,0.156008627,0.824057532,0.067775084,0.27567399,0.60352311,0.151742582,-0.371219046,0.094049227,0.644857151,0.475670382
Between religious followers,0.017189895,0.971062691,-0.207406225,0.400336474,-0.403579906,-0.345080132,0.323299002,0.564964162,-0.24845514,-0.671128977,-1.968443764,-1.192579453,0.024540314,0.028760837,-0.981686471,-0.838323301,-0.797871821,0.014543563,-0.444139403,-0.139061183,-0.501068888,-0.436503071,-0.957024812,-0.569260485,0.652109291,-0.807240798,-0.219888849,0.160787098,-0.292020299,-0.549570105,-0.002175813,0.251032145,-0.180419967
Prostitute and Customer,-0.58688063,-1.101489965,-1.649207801,-1.171720069,-0.082709716,0.881120043,-3.351700327,-1.707561284,-0.066015315,0.737007765,1.948060576,-0.90490165,-1.078746768,-2.33960034,2.486167981,1.390583923,2.058492087,-1.038659369,1.851762023,-0.265497058,1.50378186,0.660955929,-2.681174912,-2.314935427,-1.645300595,0.582582092,-0.519996964,-2.075794948,-0.530341722,0.439186773,-2.758048206,-1.491598294,-0.586217251
Guide and Tourist,0.728430619,0.058963037,-1.223446239,-1.109169567,0.985739034,-0.833636931,1.370660243,-1.032990836,0.170768506,0.857070779,1.557477198,-1.45216526,-0.887771707,1.001000034,2.107400536,1.20343349,1.999326501,-0.890737531,-0.685302678,-1.077761683,0.743767934,-0.961647918,-0.159686781,-0.790586039,-0.504178716,1.140807187,0.216515445,-1.548561983,0.028257795,0.140256732,0.326085798,0.231551404,-0.085975537
Athlete and Referee,-0.59009266,-0.769168935,-0.912723361,-1.146259181,1.140233368,-0.855665165,1.498857466,-0.586283311,-0.809198266,0.820003157,0.007808029,-1.02701949,-0.829117271,-0.591018261,-0.453512518,-0.825455448,0.226560585,-0.993805664,-0.775380008,0.669181855,-0.457924046,0.073320297,-0.094618217,-0.638531938,-0.650984271,1.195283686,-0.03223351,-1.187050474,0.126093861,-0.001678648,0.225292435,-0.133366023,0.145738338
Slave and Master,-2.162094295,-1.875276812,-0.836664272,-1.246842546,0.20092346,-0.83686284,-1.694593807,-1.35152547,-2.404238102,-0.029731142,0.104763417,-0.045765301,-1.276882456,-2.20443901,0.339651346,0.449802812,0.726727201,-0.962235571,-0.389007791,1.694787523,-1.782166446,3.677145467,-2.199553364,-1.928122636,-2.242992794,-0.240033832,-1.957122788,0.160067192,-1.734303507,-0.147923968,-2.948183749,-1.895320871,0.102640411
Reader and Writer,0.837370407,0.676514568,-0.923851338,-0.2004304,0.247499966,-0.584698194,0.192333552,-0.474860232,-0.167468216,-0.044208416,-0.224709689,-0.976056987,0.04318463,0.680730512,0.436795609,1.846487125,0.544835854,-0.094465722,-0.539103315,-1.117902235,-1.08511347,-0.988143155,0.461503191,-0.100490607,0.003580691,0.60310731,-0.582907122,-0.288488005,-1.84790108,-1.805132021,0.259156769,0.110768289,0.463164686
Reviewer and Writer,-0.83370114,0.086460362,-0.657095117,-0.792590467,1.063220509,-0.799002196,1.172679498,-0.594317894,-0.535075663,0.781315102,-0.465000242,-0.166272987,-0.655074865,0.52883376,0.04487102,0.057735959,0.345710101,-0.991212847,-0.493048532,0.63248786,-0.561287795,-0.367113058,0.165953799,0.055591685,-0.581126633,1.159385849,-0.667947909,-0.896438971,-1.473779937,-1.864648494,0.536929883,-0.800510354,-0.11314266
Performer and Audience,0.75036424,0.127700608,-0.586806159,0.330348375,0.170923324,-0.236939836,1.57642022,-0.4570003,-0.767376413,-0.031751863,-0.684955394,-0.964389971,0.270739736,-0.221140012,1.017250156,-0.246846918,1.24873948,-0.041117579,-0.351143453,-0.582674807,-1.066913661,-0.533297062,0.410516378,0.251734228,0.066807036,0.827376139,-0.08361568,-0.793826204,0.713533178,0.076797689,0.581491959,0.141161219,-0.096727565
Dealer and Buyer,-0.044342783,0.365747389,-0.841116551,-0.936875638,0.966195638,-0.874825272,0.923314933,-1.101185257,0.901477434,1.525026891,2.615660908,-0.759875975,-0.855401143,0.059128146,2.494079669,4.277139111,1.512359947,-0.972035414,-0.450510484,0.366980611,2.690942823,0.240748559,1.204842958,0.322578738,-0.433320058,0.963343768,0.5664349,-1.112105244,0.545951385,0.048942779,0.223629505,-0.31195945,-0.023209585
Sugar-daddy and Sugar-baby,0.016244939,-0.957947655,0.174129975,0.279118827,-1.157180477,1.920357318,-2.446145359,-0.330238705,0.770483259,0.065879017,1.189269638,0.640952396,0.321817598,-1.108653326,1.563009225,1.948601373,0.675149111,0.551750735,2.296665676,-0.044644758,0.882709119,1.122317989,-2.417678072,-1.017652128,-0.637613265,-0.82309538,0.106925394,-0.632091682,-0.175869784,0.334435991,-2.210824606,-0.797929295,1.776017424
Director and Performer,0.561641013,-0.465541647,0.604847304,-0.425572538,0.759638405,-0.229877916,0.686712256,-0.414117456,0.765517089,0.697075639,0.314615962,0.211765755,-0.424976603,0.988375359,0.644521015,0.081261096,0.399352307,-0.428217237,-0.421392629,0.07711206,0.281548209,-0.122050137,-0.215488517,0.208567792,0.657459403,1.409533177,0.788795613,-0.52101259,0.914006237,0.678491033,0.471428231,0.459467796,0.23819329
Psychologist and Client,0.807327274,0.046528565,0.733253874,0.200239165,0.812522417,0.27220181,-2.0129826,-0.619288874,-0.018005269,-0.033686331,0.199651933,0.561988859,-0.266825393,1.257560159,1.357506485,0.408064108,1.585987304,0.281040713,-0.448896816,-0.31092757,0.212625279,-0.443606794,0.933157644,0.978782095,0.400408987,1.273409344,1.052712293,0.27982555,1.241436605,1.07401011,0.839556643,1.036992355,0.371198941
Judge and Contestant,-0.762337686,-0.892545526,-0.976354197,-0.976904834,1.249946846,-0.880111306,1.556867222,-0.850271115,-1.197750706,0.362071422,0.101636181,-0.603823233,-0.812720337,-0.25416584,-0.634356366,-0.816278245,-0.175030594,-1.034083538,-0.510030983,1.029411567,-0.467257747,0.556140319,-0.199044348,-0.318244378,-0.904261974,1.023506293,-0.870815266,-1.423660074,0.394795757,-0.096299468,0.307537268,-0.541032081,0.246283887
Man and God,0.110194719,-1.046999465,0.009257729,0.735203089,-0.833261735,0.898782219,-1.911862889,0.548863866,-0.953363528,-1.146549004,-1.842593979,0.537471853,1.214931175,-0.900256098,-1.053154976,-0.98545744,-0.97945721,1.046872028,0.074999275,-0.52765228,-1.344615125,-0.003975718,0.080023147,0.393238897,0.048017374,-1.008742635,-0.921346926,1.167441592,-1.00654821,-1.031956955,0.437636641,0.557861704,2.116476745
Between Co-workers,0.417858865,1.264660264,0.380140815,-0.593172246,0.700855831,-0.350746927,1.351790857,0.150241934,2.103255988,0.827191407,1.291190217,-0.59651523,-0.522337166,1.214716249,-0.03424612,0.193979187,0.184198421,-0.114873043,-0.466981515,0.182781363,1.34678413,-0.282975223,0.883839484,0.661070183,1.0385793,1.323822057,0.347151235,0.359188699,1.664843486,0.985266146,0.723718704,0.41217486,-0.088707491
Between sports rivals,-1.884152037,1.297478076,-0.495503734,-0.691410502,0.463059412,-0.741298734,1.247738005,-0.581940846,-0.410334992,1.448583655,-0.291790018,-0.70591674,-0.811899695,-2.090836254,-0.721907296,-1.244499447,-1.300628732,-1.03228258,-0.814784986,2.458752337,-1.632559519,0.721718473,-0.939262251,-0.682268335,-1.579658359,0.415733313,-0.866407319,-0.680679137,0.50378058,-0.464818231,-0.330536671,-1.596725637,-0.868725216
Between romantic rivals,-1.868561253,0.938894608,-0.550413636,0.565145527,-1.182749925,0.115143299,-1.454465858,-0.591303603,-1.111925984,0.366750827,-0.970829105,0.938962897,0.227767619,-1.968286376,-1.210855303,-1.210270111,-1.70508612,-0.685959319,1.079084686,2.449023458,-1.038829,1.265073871,-1.744804244,-0.53825223,-1.696290175,-1.111564572,-0.963398751,-0.662718298,-0.257304,-0.981569215,-1.389066217,-1.612285758,-0.919672697
Between criminal and their accomplice,-0.309288079,-0.153886851,0.112772252,-0.590041072,-0.711886092,-0.654408268,-2.275516081,-0.494811818,0.867048475,1.053376003,1.185232747,0.388988345,-0.83699179,-0.020898529,1.021747932,1.356048696,-0.20335638,-0.36889005,-0.656109593,0.547928321,0.600573627,1.536224858,-0.995454519,-0.89618464,0.02600262,-0.186082176,0.171393501,-0.657328836,0.457928736,-0.027216449,-2.727790581,-0.529144833,-0.464873044
Between diplomats,-0.513731005,0.647733542,-0.542271632,-1.042359627,1.433192013,-0.782221055,0.640971485,-0.672506319,1.037032975,1.481669097,-0.005920685,-0.605371042,-0.981456139,0.111198082,-0.046255366,0.21992563,0.213665017,-0.753167196,-0.714272105,0.70648575,2.705552042,0.689835618,1.199199468,-0.519924783,-0.226539936,1.055827208,-0.222083755,-0.388165193,0.004829937,-0.610567997,-0.052126547,-0.549017439,-0.416072844
Principal and Teacher,0.61271589,-1.030902148,0.007622368,-0.886045067,1.323862122,-0.607584995,0.895908631,-0.312137906,0.697160995,0.767325444,0.60794772,-0.088682995,-0.559368167,1.005182198,0.059742241,-0.802523839,0.442212906,-0.089387158,-0.662603233,-0.732332953,0.286473842,-0.119604642,0.586329881,0.195493827,0.621348375,1.245574895,-0.1340731,0.388855096,-0.119429818,0.411450322,0.557887264,0.504233074,0.470776377
Professor and Teaching Assistant,0.644007718,-0.920092794,0.073362557,-0.861741445,1.083981355,-0.498914604,0.787156448,-0.237868157,0.795415921,0.58869732,0.465603155,-0.091226943,-0.533214035,1.126603662,-0.265610746,-0.62534182,0.521624669,-0.02308725,-0.61694115,-0.878122532,-0.187893258,-0.360124299,0.292728725,0.042556674,0.686434129,1.1696253,-0.043540376,-0.037273629,0.424861414,0.521107299,0.574460449,0.601664646,0.679485276
University student and Administrator,0.266712896,-0.960068809,-1.081280526,-0.971655576,1.218112257,-0.725005884,0.93187721,-0.422328821,-0.101124674,0.130320039,0.602819681,-0.608823962,-0.617264097,0.696274086,-0.485613959,-0.285825888,0.803520248,-0.381958015,-0.672241071,-0.642191288,-0.018319661,-0.166812755,0.059340923,-0.546498183,-0.121804369,0.66954947,-0.783661991,-0.561288976,-0.900849852,-0.206644655,0.323021106,0.108210223,1.362743015
Student and Dorm Resident assistant,-0.01274278,-0.806365351,-0.890857327,-0.789505968,0.897011316,-0.819457228,0.778802284,-0.477518058,-0.162527894,0.514216046,0.798611342,-0.874077524,-0.711938473,-0.462710074,0.138683265,0.248641302,1.09432291,-0.903074359,-0.585895069,-0.162475337,0.500769965,-0.274888704,-0.579473791,-0.496954905,-0.570839404,0.373108466,-0.856610338,-0.900386833,-1.110519268,-0.116563813,0.314004764,-0.320834135,0.892916568
Mentor and Mentee,0.773968862,-1.035711661,0.4052351,-0.570252415,1.169595093,-0.450231417,0.704435492,-0.206179233,0.453404478,0.733704349,0.323035848,0.535393702,-0.247182316,1.336754508,-0.16428867,0.051557058,1.102170725,0.288636386,-0.481612166,-0.588760127,0.260318801,-0.286877978,0.933491961,0.760893624,0.619927485,1.093636147,0.950612815,-0.219501561,0.660871048,0.421230884,0.77512235,0.8264957,1.755304155
Athletic trainer and Trainee,0.558031297,-0.7790321,0.608417788,-0.579005362,0.831146511,-0.434339477,0.933874527,-0.327817404,0.631710568,0.995971929,0.999367709,0.028125188,-0.423199438,1.018678179,0.746413483,0.471345492,1.433252967,0.277109642,-0.455354566,-0.488478694,0.486184017,0.101131713,0.090013838,0.500663914,0.718323377,1.360226345,1.103081055,-0.208795255,0.817614444,0.805235877,0.828693283,0.783048027,1.393921167
Researcher and Research Subject,0.415948489,-0.250003919,-0.608169803,-1.035031255,1.416803595,-0.865049058,0.198385879,-0.750734606,0.177780078,1.193956281,1.376182353,-0.456952393,-0.778525756,0.705922047,0.36754107,0.704147534,0.696590286,-0.611738552,-0.626319826,-1.005036602,-0.116240479,-0.485062367,0.849928819,-0.189914382,0.196442739,1.166793956,0.078435608,-1.191180264,0.057024657,-0.48596455,0.364570626,0.158414659,0.607078794
Between peers,0.081311566,1.609682363,0.548752532,0.852260251,-0.949345798,0.49300687,0.274736971,0.556989288,0.405095516,-0.699177456,-0.822372696,-0.469920126,0.110820216,-0.244566983,-0.755727325,-0.131596681,-0.881558848,0.198763312,0.576343685,0.018645273,0.407921575,-0.517274764,0.529960606,0.06918288,0.183395386,-0.80679006,-0.170110911,0.365341725,0.322204312,-0.115756518,0.20557748,-0.109151916,-1.687734526
Between classmates,-0.043858399,1.619913456,0.661571338,0.677129412,-0.886575564,0.480167907,0.683292246,0.679872519,0.867926778,-0.576312357,-0.700689676,-0.41492474,0.186933696,0.190925481,-1.033995856,-0.155788278,-0.945715688,0.313836167,0.304258627,0.023114872,0.515301986,-0.475302892,0.144379185,0.442009665,0.652535031,-0.589823367,0.418938494,0.185165369,1.336189216,0.902228311,0.350381532,0.174285723,-1.95611792
Between roommates,0.535502732,1.676662801,1.098438408,0.933041157,-1.127517107,0.803907266,-0.683939001,1.017399489,1.062411013,-0.597722328,-0.433283511,0.765809116,0.433788769,0.054851207,-0.412248441,0.200627954,-0.76963895,0.721891108,0.048297392,-0.025675792,0.899114022,-0.504251428,-0.246342397,0.775158261,0.760803959,-0.820841341,0.256188223,0.139136262,0.460642957,1.495596219,0.402456374,0.614117049,-1.243450781
Between sorority sisters,0.007552368,1.06743314,0.659263626,0.740083395,-0.791466209,0.59168846,-0.328442761,0.720158046,0.747431663,-0.524012637,-0.495383441,-0.351272848,0.216172238,-0.279399581,-0.896721465,-0.170834154,-0.743550192,0.49733335,-0.346828025,-0.445456914,0.229443979,-0.551572335,-0.740081726,-0.198713094,0.52158631,-0.854230149,0.021574647,0.077796147,-0.223228769,0.503023753,0.249178392,0.314349664,-1.327000186
Between fraternity brothers,0.372258121,1.181016533,0.820351375,1.016174121,-1.031201217,0.573407852,0.302531067,1.084657524,1.214597974,-0.937050454,-0.449691399,0.144141425,0.499913815,0.605806807,-0.905697557,-0.758391411,-0.929369224,0.912620911,-0.536715374,-0.445284708,-0.343009138,-0.645002074,-0.68009123,0.556308586,1.364835992,-0.619009431,1.043958396,0.740094382,1.182194051,0.990920448,0.245157944,0.956066298,-1.22840855
Bride and Bridesmaid,0.971987595,0.422655217,1.311844811,1.382041913,-0.947015197,1.207160501,-0.175095422,1.254929412,0.401597113,-1.186630925,-0.895540056,1.510416632,1.214815465,0.583558521,-1.041287973,-0.871711542,-0.559779997,1.299834887,-0.221418293,-0.832283206,-0.469890454,-1.038933826,-0.953249247,0.797144757,0.68669056,-0.881368006,1.338843152,0.265039635,1.435354724,0.935463382,0.603477962,1.155262217,-1.141993722
Groom and Groomsman,1.075676215,0.521958534,1.28729027,1.413465589,-0.98993256,0.951967443,-0.22484687,1.226096113,0.335721525,-1.206527609,-0.987123661,1.410888254,1.146085668,0.553734438,-1.033764181,-0.867092283,-0.560433625,1.281990455,-0.239048634,-0.965853863,-0.529691645,-1.158961222,-0.997408601,0.803146155,0.709557146,-0.896371543,1.269566299,0.385939643,1.493213033,0.893832817,0.580719134,1.183969859,-0.966325536
Predecessor and Successor,-0.658651147,-0.436875349,-0.665175083,-0.881482987,0.985316839,-0.675506853,0.315029582,-0.487080712,-0.334277751,0.843330251,0.315220566,-0.092128712,-0.767676823,0.537433078,0.141245625,0.200282032,-0.149336819,-0.636171882,-0.522872542,0.042954723,0.20060307,-0.319565995,0.179729333,-0.624864091,-0.203531364,0.924733255,-0.724654172,-0.633442446,-1.347817908,-0.932772699,-0.220167138,-0.261031552,0.996403985
Landlord and Tenant,-0.354059628,-0.881330088,-1.434961116,-1.053004149,1.237629091,-0.814352034,-0.35495306,-1.481684227,0.09527768,1.179123667,1.836006246,-1.226403902,-1.037222942,-0.754914896,2.403247601,1.839166862,1.248003177,-1.080199538,-0.6270875,0.349783413,1.598751725,-0.052238682,0.329723497,-0.369569332,-0.558232858,0.330740072,-0.691750989,-0.2084842,-0.290214768,-0.839270621,-0.174852378,-0.217850633,0.620194712
Landlord and Housekeeper,-0.157531377,-1.070429682,-0.78304112,-0.927439952,0.989923501,-0.778494813,-0.701891626,-1.309801608,-0.228404828,0.722950163,1.543092612,-0.776996141,-0.94366104,-0.69871288,2.093644336,0.796077268,1.730266763,-0.827939858,-0.636919835,-0.266091524,0.980907584,-0.121199282,-0.727169234,-0.729850876,-0.623231249,0.801534732,-0.611047916,-0.051291651,-0.055405275,-0.080937325,-0.196169859,0.164209045,0.46651567
Guest and Host,0.729743113,0.155724534,-0.041818271,0.291173351,-0.080045476,0.038044678,-0.571174197,0.12975289,0.201992462,-0.514442167,-0.262862076,-0.828659996,-0.182108557,-0.43580159,-0.428034754,-0.30688941,-0.010643991,-0.230486601,-0.491554688,-1.036460339,-0.652070965,-0.943418355,-0.262229149,0.125404247,-0.176650271,-0.471039508,0.495406757,-0.916356932,0.614830001,0.486291606,0.248040439,0.25326835,-0.425427894
Television host and Guest,0.194338555,-0.086834351,-0.966974209,-0.694116996,0.962816489,-0.692216763,1.517558919,-0.839413236,-0.038381659,0.776975516,0.339389425,-1.18649734,-0.987174537,-0.260234356,0.252151908,-0.299540343,0.373395791,-0.999761652,-0.654961553,-0.816072813,-0.489510442,-0.778312624,-0.852613727,-1.393081812,-0.721191532,0.850707681,-0.182886239,-1.55489854,0.378032292,-0.287988302,-0.343995665,-0.635927173,-0.05121722
Volunteer and Organizer,0.998988353,-0.116111664,0.158869725,-0.398958144,0.971650103,-0.508197133,1.08769729,0.242859817,0.322221211,0.659442967,1.222224894,-0.617560516,0.002048395,0.898712848,-0.368291868,0.273205262,1.475618748,-0.32704351,-0.258122331,-0.944868285,0.846352708,-0.792752284,1.492092756,0.181005886,1.246322473,0.890822665,1.0683316,-0.58782781,1.224191932,0.674824589,1.078542816,0.683179219,-0.152269902
Celebrity and Fans,0.463704584,-0.974446073,-0.670952527,0.406746222,-0.412178412,-0.269329665,0.988423035,-0.288234243,-1.546495475,0.063837775,-1.138472708,-1.167412131,0.626640363,-0.873902634,0.285239038,1.052315404,0.260927799,0.508493756,-0.081588099,-0.915860843,-1.073477931,-0.808887226,-1.174657015,-0.33715148,0.165840854,-0.0813134,-0.322081927,-0.107302684,-1.109620733,-1.508284705,-0.136529719,-0.265106493,-0.500863365
