ISO_1	LangName_1	ISO_2	LangName_2	Similarity	Robustness
abe	Western Abnaki	mon	Mongolian	0.067	Low
abe	Western Abnaki	msa	Malay	0.050	Low
abe	Western Abnaki	mya	Burmese	0.312	Low
abe	Western Abnaki	nld	Dutch	0.066	Low
abe	Western Abnaki	nno	Norwegian Nynorsk	0.147	Low
abe	Western Abnaki	nob	Norwegian Bokmål	0.116	Low
abe	Western Abnaki	oci	Occitan	0.199	Low
abe	Western Abnaki	ori	Oriya	0.239	Low
abe	Western Abnaki	pan	Panjabi	0.112	Low
abe	Western Abnaki	pap	Papiamento	0.490	Low
abe	Western Abnaki	pim	Powhatan	1.777	Low
abe	Western Abnaki	pol	Polish	0.124	Low
abe	Western Abnaki	por	Portuguese	0.125	Low
abe	Western Abnaki	ron	Romanian	0.130	Low
abe	Western Abnaki	rus	Russian	0.061	Low
abe	Western Abnaki	scn	Sicilian	0.234	Low
abe	Western Abnaki	sco	Scots	0.405	Low
abe	Western Abnaki	slk	Slovak	0.074	Low
abe	Western Abnaki	slv	Slovenian	0.071	Low
abe	Western Abnaki	spa	Spanish	0.125	Low
abe	Western Abnaki	swe	Swedish	0.113	Low
abe	Western Abnaki	tam	Tamil	0.108	Low
abe	Western Abnaki	tel	Telugu	0.080	Low
abe	Western Abnaki	tgl	Tagalog	0.280	Low
abe	Western Abnaki	tha	Thai	0.070	Low
abe	Western Abnaki	tpi	Tok Pisin	0.347	Low
abe	Western Abnaki	tsn	Tswana	0.080	Low
abe	Western Abnaki	tur	Turkish	0.126	Low
abe	Western Abnaki	ukr	Ukrainian	0.140	Low
abe	Western Abnaki	urd	Urdu	0.098	Low
abe	Western Abnaki	xho	Xhosa	0.146	Low
abe	Western Abnaki	yor	Yoruba	0.436	Low
abe	Western Abnaki	zsm	Standard Malay	0.080	Low
abe	Western Abnaki	zul	Zulu	0.160	Low
abk	Abkhazian	abq	Abaza	14.485	Low
abk	Abkhazian	ady	Adyghe	0.748	Low
abk	Abkhazian	afr	Afrikaans	0.880	Medium
abk	Abkhazian	alt	Southern Altai	2.885	Low
abk	Abkhazian	amh	Amharic	0.638	Low
abk	Abkhazian	arb	Standard Arabic	0.225	Medium
abk	Abkhazian	arg	Aragonese	0.793	Low
abk	Abkhazian	arz	Egyptian Arabic	0.685	Medium
abk	Abkhazian	asm	Assamese	0.533	Medium
abk	Abkhazian	ast	Asturian	0.679	Medium
abk	Abkhazian	ava	Avaric	3.041	Low
abk	Abkhazian	ave	Avestan	0.720	Low
abk	Abkhazian	bak	Bashkir	2.242	Low
abk	Abkhazian	bar	Bavarian	0.442	Low
abk	Abkhazian	bel	Belarusian	1.238	Medium
abk	Abkhazian	ben	Bengali	0.326	Medium
abk	Abkhazian	bre	Breton	0.424	Medium
abk	Abkhazian	brx	Bodo	0.774	Medium
abk	Abkhazian	bul	Bulgarian	0.721	Medium
abk	Abkhazian	bxr	Russia Buriat	3.951	Low
abk	Abkhazian	cat	Catalan	0.491	Medium
abk	Abkhazian	ccc	Chamicuro	0.272	Low
abk	Abkhazian	ceb	Cebuano	0.272	Low
abk	Abkhazian	ces	Czech	0.453	Medium
abk	Abkhazian	cha	Chamorro	0.529	Low
abk	Abkhazian	che	Chechen	2.741	Low
abk	Abkhazian	chn	Chinook jargon	0.521	Low
abk	Abkhazian	chu	Church Slavic	0.224	Medium
abk	Abkhazian	chv	Chuvash	1.737	Low
abk	Abkhazian	cjs	Shor	0.496	Low
abk	Abkhazian	ckb	Central Kurdish	0.139	Medium
abk	Abkhazian	cmn	Mandarin Chinese	0.123	Medium
abk	Abkhazian	cop	Coptic	1.657	Low
abk	Abkhazian	cor	Cornish	0.364	Medium
abk	Abkhazian	cos	Corsican	0.622	Low
abk	Abkhazian	crh	Crimean Tatar	1.075	Medium
abk	Abkhazian	csb	Kashubian	0.694	Low
abk	Abkhazian	cym	Welsh	0.422	Medium
abk	Abkhazian	dan	Danish	0.585	Medium
abk	Abkhazian	deu	German	0.291	Medium
abk	Abkhazian	div	Dhivehi	1.078	Low
abk	Abkhazian	dng	Dungan	0.387	Low
abk	Abkhazian	dsb	Lower Sorbian	1.167	Medium
abk	Abkhazian	ell	Modern Greek	0.400	Medium
abk	Abkhazian	eng	English	0.386	Medium
abk	Abkhazian	epo	Esperanto	0.458	Medium
abk	Abkhazian	eus	Basque	0.422	Medium
abk	Abkhazian	evn	Evenki	3.004	Low
abk	Abkhazian	fao	Faroese	0.828	Medium
abk	Abkhazian	fas	Persian	0.102	Medium
abk	Abkhazian	fij	Fijian	0.572	Low
abk	Abkhazian	fin	Finnish	0.243	Medium
abk	Abkhazian	fra	French	0.491	Medium
abk	Abkhazian	frr	Northern Frisian	0.871	Low
abk	Abkhazian	fry	Western Frisian	0.849	Medium
abk	Abkhazian	fur	Friulian	1.373	Medium
abk	Abkhazian	gag	Gagauz	1.652	Low
abk	Abkhazian	gla	Scottish Gaelic	0.537	Medium
abk	Abkhazian	gle	Irish	0.341	Medium
abk	Abkhazian	glg	Galician	0.623	Medium
abk	Abkhazian	glv	Manx	0.205	Medium
abk	Abkhazian	grc	Ancient Greek	0.689	Medium
abk	Abkhazian	gsw	Swiss German	0.542	Low
abk	Abkhazian	guj	Gujarati	0.536	Medium
abk	Abkhazian	hat	Haitian	0.940	Medium
abk	Abkhazian	hau	Hausa	0.371	Low
abk	Abkhazian	haw	Hawaiian	0.216	Medium
abk	Abkhazian	heb	Hebrew	0.336	Medium
abk	Abkhazian	hil	Hiligaynon	0.703	Low
abk	Abkhazian	hin	Hindi	0.454	Medium
abk	Abkhazian	hrv	Croatian	0.591	Medium
abk	Abkhazian	hsb	Upper Sorbian	0.500	Low
abk	Abkhazian	hun	Hungarian	0.581	Medium
abk	Abkhazian	hye	Armenian	0.882	Medium
abk	Abkhazian	ilo	Iloko	0.621	Low
abk	Abkhazian	ind	Indonesian	0.337	Medium
abk	Abkhazian	inh	Ingush	1.225	Low
abk	Abkhazian	isl	Icelandic	0.372	Medium
abk	Abkhazian	ita	Italian	0.618	Medium
abk	Abkhazian	jav	Javanese	0.360	Low
abk	Abkhazian	jpn	Japanese	0.070	Medium
abk	Abkhazian	kaa	Kara-Kalpak	0.683	Low
abk	Abkhazian	kal	Kalaallisut	0.667	Low
abk	Abkhazian	kan	Kannada	0.280	Medium
abk	Abkhazian	kas	Kashmiri	0.386	Medium
abk	Abkhazian	kat	Georgian	1.076	Medium
abk	Abkhazian	kaz	Kazakh	1.777	Medium
abk	Abkhazian	ket	Ket	0.639	Low
abk	Abkhazian	khm	Khmer	0.505	Medium
abk	Abkhazian	kir	Kirghiz	2.259	Medium
abk	Abkhazian	kjh	Khakas	2.429	Low
abk	Abkhazian	kmr	Northern Kurdish	1.001	Low
abk	Abkhazian	koi	Komi-Permyak	3.594	Low
abk	Abkhazian	kok	Konkani	0.380	Medium
abk	Abkhazian	kor	Korean	0.119	Medium
abk	Abkhazian	krc	Karachay-Balkar	0.584	Low
abk	Abkhazian	krl	Karelian	0.785	Low
abk	Abkhazian	ksh	Kölsch	0.540	Low
abk	Abkhazian	kum	Kumyk	1.534	Low
abk	Abkhazian	lao	Lao	0.555	Medium
abk	Abkhazian	lat	Latin	0.675	Medium
abk	Abkhazian	lez	Lezghian	1.711	Low
abk	Abkhazian	lim	Limburgan	0.591	Low
abk	Abkhazian	lin	Lingala	0.437	Low
abk	Abkhazian	lit	Lithuanian	0.300	Medium
abk	Abkhazian	liv	Liv	1.230	Low
abk	Abkhazian	lmo	Lombard	1.880	Low
abk	Abkhazian	ltg	Latgalian	0.154	Medium
abk	Abkhazian	ltz	Luxembourgish	0.818	Medium
abk	Abkhazian	lug	Ganda	0.327	Low
abk	Abkhazian	luo	Luo	0.735	Low
abk	Abkhazian	mal	Malayalam	0.408	Medium
abk	Abkhazian	mar	Marathi	0.478	Medium
abk	Abkhazian	mdf	Moksha	0.518	Low
abk	Abkhazian	mel	Central Melanau	0.719	Low
abk	Abkhazian	mer	Meru	0.507	Low
abk	Abkhazian	mhr	Eastern Mari	0.718	Medium
abk	Abkhazian	mkd	Macedonian	1.010	Medium
abk	Abkhazian	mlt	Maltese	1.930	Medium
abk	Abkhazian	mni	Manipuri	0.417	Medium
abk	Abkhazian	mon	Mongolian	0.260	Medium
abk	Abkhazian	mri	Maori	0.309	Medium
abk	Abkhazian	msa	Malay	0.326	Medium
abk	Abkhazian	mvi	Miyako	0.754	Low
abk	Abkhazian	mya	Burmese	0.196	Medium
abk	Abkhazian	myv	Erzya	0.906	Low
abk	Abkhazian	nap	Neapolitan	0.546	Low
abk	Abkhazian	nav	Navajo	0.402	Medium
abk	Abkhazian	nds	Low German	0.220	Low
abk	Abkhazian	nep	Nepali	0.646	Medium
abk	Abkhazian	nld	Dutch	0.807	Medium
abk	Abkhazian	nmn	?Xóõ	0.416	Low
abk	Abkhazian	nno	Norwegian Nynorsk	0.610	Medium
abk	Abkhazian	nob	Norwegian Bokmål	0.479	Medium
abk	Abkhazian	nog	Nogai	1.529	Low
abk	Abkhazian	nso	Pedi	0.172	Medium
abk	Abkhazian	oci	Occitan	0.702	Medium
abk	Abkhazian	ori	Oriya	0.254	Medium
abk	Abkhazian	oss	Ossetian	2.893	Low
abk	Abkhazian	pan	Panjabi	0.482	Medium
abk	Abkhazian	pap	Papiamento	0.887	Low
abk	Abkhazian	pjt	Pitjantjatjara	0.352	Low
abk	Abkhazian	pol	Polish	0.607	Medium
abk	Abkhazian	por	Portuguese	0.537	Medium
abk	Abkhazian	rhg	Rohingya	0.442	Low
abk	Abkhazian	roh	Romansh	2.065	Medium
abk	Abkhazian	ron	Romanian	0.432	Medium
abk	Abkhazian	rue	Rusyn	2.615	Low
abk	Abkhazian	rup	Macedo-Romanian	1.086	Medium
abk	Abkhazian	rus	Russian	0.586	Medium
abk	Abkhazian	sah	Yakut	1.085	Low
abk	Abkhazian	san	Sanskrit	0.235	Medium
abk	Abkhazian	scn	Sicilian	0.950	Medium
abk	Abkhazian	sco	Scots	1.058	Low
abk	Abkhazian	sgs	Samogitian	1.057	Low
abk	Abkhazian	sin	Sinhala	0.630	Medium
abk	Abkhazian	slk	Slovak	0.312	Medium
abk	Abkhazian	slv	Slovenian	0.338	Medium
abk	Abkhazian	sms	Skolt Sami	0.440	Low
abk	Abkhazian	snd	Sindhi	0.366	Low
abk	Abkhazian	som	Somali	0.692	Low
abk	Abkhazian	sot	Southern Sotho	1.032	Low
abk	Abkhazian	spa	Spanish	0.442	Medium
abk	Abkhazian	sqi	Albanian	0.846	Medium
abk	Abkhazian	stq	Saterfriesisch	1.337	Low
abk	Abkhazian	swe	Swedish	0.392	Medium
abk	Abkhazian	tam	Tamil	0.359	Medium
abk	Abkhazian	tat	Tatar	2.349	Medium
abk	Abkhazian	tel	Telugu	0.138	Medium
abk	Abkhazian	tgk	Tajik	1.688	Medium
abk	Abkhazian	tgl	Tagalog	1.356	Medium
abk	Abkhazian	tha	Thai	0.245	Medium
abk	Abkhazian	tir	Tigrinya	0.324	Medium
abk	Abkhazian	tpi	Tok Pisin	0.530	Medium
abk	Abkhazian	tsn	Tswana	0.131	Medium
abk	Abkhazian	tuk	Turkmen	0.866	Medium
abk	Abkhazian	tur	Turkish	0.685	Medium
abk	Abkhazian	tyv	Tuvinian	1.640	Low
abk	Abkhazian	udi	Udi	0.547	Low
abk	Abkhazian	udm	Udmurt	2.494	Low
abk	Abkhazian	uig	Uighur	0.706	Medium
abk	Abkhazian	ukr	Ukrainian	1.012	Medium
abk	Abkhazian	urd	Urdu	0.761	Medium
abk	Abkhazian	vec	Venetian	1.269	Low
abk	Abkhazian	vep	Veps	1.488	Low
abk	Abkhazian	vie	Vietnamese	0.375	Medium
abk	Abkhazian	vls	Vlaams	0.446	Low
abk	Abkhazian	wln	Walloon	0.456	Low
abk	Abkhazian	wym	Wymysorys	0.431	Low
abk	Abkhazian	xal	Kalmyk	2.143	Low
abk	Abkhazian	xho	Xhosa	0.085	Medium
abk	Abkhazian	zsm	Standard Malay	0.376	Medium
abk	Abkhazian	zul	Zulu	0.274	Medium
abq	Abaza	ady	Adyghe	8.911	Low
abq	Abaza	arb	Standard Arabic	0.509	Low
abq	Abaza	arz	Egyptian Arabic	1.429	Low
abq	Abaza	ava	Avaric	9.055	Low
abq	Abaza	bak	Bashkir	2.313	Low
abq	Abaza	che	Chechen	2.686	Low
abq	Abaza	hrv	Croatian	0.411	Low
abq	Abaza	inh	Ingush	8.754	Low
abq	Abaza	kat	Georgian	1.861	Low
abq	Abaza	kaz	Kazakh	1.483	Low
abq	Abaza	kir	Kirghiz	2.100	Low
abq	Abaza	mkd	Macedonian	0.980	Low
abq	Abaza	mlt	Maltese	1.182	Low
abq	Abaza	nav	Navajo	1.064	Low
abq	Abaza	tat	Tatar	1.926	Low
abq	Abaza	tgk	Tajik	1.761	Low
abq	Abaza	tuk	Turkmen	2.053	Low
abq	Abaza	tur	Turkish	0.869	Low
ace	Achinese	aoz	Uab Meto	8.373	Low
ace	Achinese	ban	Balinese	6.392	Low
ace	Achinese	bug	Buginese	31.506	Low
ace	Achinese	ilo	Iloko	3.735	Low
ace	Achinese	jav	Javanese	3.609	Low
ace	Achinese	pam	Pampanga	4.874	Low
ace	Achinese	tgl	Tagalog	1.146	Low
ace	Achinese	zsm	Standard Malay	0.327	Low
ady	Adyghe	afr	Afrikaans	0.290	Low
ady	Adyghe	alt	Southern Altai	1.089	Low
ady	Adyghe	arb	Standard Arabic	0.128	Low
ady	Adyghe	arz	Egyptian Arabic	0.382	Low
ady	Adyghe	ast	Asturian	0.334	Low
ady	Adyghe	ava	Avaric	1.982	Low
ady	Adyghe	bak	Bashkir	1.268	Low
ady	Adyghe	bel	Belarusian	0.495	Low
ady	Adyghe	bre	Breton	0.696	Low
ady	Adyghe	brx	Bodo	0.228	Low
ady	Adyghe	bul	Bulgarian	0.162	Low
ady	Adyghe	cat	Catalan	0.220	Low
ady	Adyghe	ces	Czech	0.100	Low
ady	Adyghe	cor	Cornish	0.610	Low
ady	Adyghe	csb	Kashubian	0.967	Low
ady	Adyghe	cym	Welsh	0.334	Low
ady	Adyghe	dan	Danish	0.196	Low
ady	Adyghe	deu	German	0.227	Low
ady	Adyghe	dsb	Lower Sorbian	0.812	Low
ady	Adyghe	ell	Modern Greek	0.298	Low
ady	Adyghe	eng	English	0.094	Low
ady	Adyghe	epo	Esperanto	0.169	Low
ady	Adyghe	esu	Central Yupik	1.955	Low
ady	Adyghe	eus	Basque	0.132	Low
ady	Adyghe	fao	Faroese	0.263	Low
ady	Adyghe	fin	Finnish	0.075	Low
ady	Adyghe	fra	French	0.100	Low
ady	Adyghe	fry	Western Frisian	0.416	Low
ady	Adyghe	gla	Scottish Gaelic	0.273	Low
ady	Adyghe	gle	Irish	0.283	Low
ady	Adyghe	glg	Galician	0.156	Low
ady	Adyghe	glv	Manx	0.245	Low
ady	Adyghe	gsw	Swiss German	1.411	Low
ady	Adyghe	hrv	Croatian	0.120	Low
ady	Adyghe	hsb	Upper Sorbian	0.478	Low
ady	Adyghe	hye	Armenian	0.247	Low
ady	Adyghe	isl	Icelandic	0.222	Low
ady	Adyghe	ita	Italian	0.117	Low
ady	Adyghe	jpn	Japanese	0.058	Low
ady	Adyghe	kat	Georgian	0.526	Low
ady	Adyghe	kaz	Kazakh	0.690	Low
ady	Adyghe	kbd	Kabardian	100.000	Low
ady	Adyghe	kir	Kirghiz	0.506	Low
ady	Adyghe	lat	Latin	0.211	Low
ady	Adyghe	lit	Lithuanian	0.200	Low
ady	Adyghe	ltz	Luxembourgish	0.669	Low
ady	Adyghe	lzz	Laz	1.722	Low
ady	Adyghe	mkd	Macedonian	0.236	Low
ady	Adyghe	mlt	Maltese	1.026	Low
ady	Adyghe	myv	Erzya	0.709	Low
ady	Adyghe	nno	Norwegian Nynorsk	0.241	Low
ady	Adyghe	nob	Norwegian Bokmål	0.189	Low
ady	Adyghe	oci	Occitan	0.707	Low
ady	Adyghe	pol	Polish	0.087	Low
ady	Adyghe	por	Portuguese	0.230	Low
ady	Adyghe	rgn	Romagnol	2.651	Low
ady	Adyghe	roh	Romansh	0.690	Low
ady	Adyghe	rup	Macedo-Romanian	0.505	Low
ady	Adyghe	rus	Russian	0.155	Low
ady	Adyghe	sah	Yakut	0.743	Low
ady	Adyghe	scn	Sicilian	0.751	Low
ady	Adyghe	sot	Southern Sotho	0.966	Low
ady	Adyghe	spa	Spanish	0.209	Low
ady	Adyghe	swe	Swedish	0.184	Low
ady	Adyghe	tat	Tatar	1.575	Low
ady	Adyghe	tgk	Tajik	0.471	Low
ady	Adyghe	tsn	Tswana	0.122	Low
ady	Adyghe	tuk	Turkmen	0.488	Low
ady	Adyghe	tur	Turkish	0.452	Low
ady	Adyghe	ukr	Ukrainian	0.358	Low
ady	Adyghe	vie	Vietnamese	0.134	Low
ady	Adyghe	wln	Walloon	1.500	Low
ady	Adyghe	wol	Wolof	1.089	Low
ady	Adyghe	xmf	Mingrelian	2.153	Low
ady	Adyghe	zul	Zulu	0.220	Low
afr	Afrikaans	aln	Gheg Albanian	0.320	Low
afr	Afrikaans	alt	Southern Altai	0.555	Low
afr	Afrikaans	amh	Amharic	0.626	Medium
afr	Afrikaans	arb	Standard Arabic	0.313	High
afr	Afrikaans	arg	Aragonese	2.861	Medium
afr	Afrikaans	ary	Moroccan Arabic	0.085	Medium
afr	Afrikaans	arz	Egyptian Arabic	0.258	Medium
afr	Afrikaans	asm	Assamese	0.998	High
afr	Afrikaans	ast	Asturian	4.164	Medium
afr	Afrikaans	ava	Avaric	0.178	Low
afr	Afrikaans	ave	Avestan	0.470	Low
afr	Afrikaans	bak	Bashkir	0.814	Medium
afr	Afrikaans	bam	Bambara	0.603	Medium
afr	Afrikaans	bar	Bavarian	3.010	Medium
afr	Afrikaans	bcl	Central Bikol	0.346	Low
afr	Afrikaans	bel	Belarusian	3.298	Medium
afr	Afrikaans	ben	Bengali	1.217	High
afr	Afrikaans	bis	Bislama	0.975	Low
afr	Afrikaans	bre	Breton	2.943	Medium
afr	Afrikaans	brg	Baure	0.141	Low
afr	Afrikaans	brx	Bodo	0.809	High
afr	Afrikaans	bul	Bulgarian	2.505	High
afr	Afrikaans	bxr	Russia Buriat	0.405	Low
afr	Afrikaans	cat	Catalan	2.721	High
afr	Afrikaans	ccc	Chamicuro	0.173	Medium
afr	Afrikaans	ceb	Cebuano	2.029	Medium
afr	Afrikaans	ces	Czech	2.548	High
afr	Afrikaans	cha	Chamorro	0.803	Medium
afr	Afrikaans	che	Chechen	1.038	Medium
afr	Afrikaans	chn	Chinook jargon	0.441	Medium
afr	Afrikaans	chr	Cherokee	0.066	Medium
afr	Afrikaans	chu	Church Slavic	1.133	Medium
afr	Afrikaans	chv	Chuvash	0.591	Low
afr	Afrikaans	cjs	Shor	0.179	Medium
afr	Afrikaans	ckb	Central Kurdish	0.126	Medium
afr	Afrikaans	cmn	Mandarin Chinese	0.120	High
afr	Afrikaans	cop	Coptic	1.039	Low
afr	Afrikaans	cor	Cornish	1.138	Medium
afr	Afrikaans	cos	Corsican	2.375	Medium
afr	Afrikaans	crh	Crimean Tatar	1.186	Medium
afr	Afrikaans	csb	Kashubian	1.676	Low
afr	Afrikaans	cym	Welsh	2.595	Medium
afr	Afrikaans	dan	Danish	6.235	High
afr	Afrikaans	deu	German	6.184	High
afr	Afrikaans	div	Dhivehi	0.633	Medium
afr	Afrikaans	dlg	Dolgan	0.160	Low
afr	Afrikaans	dng	Dungan	0.515	Low
afr	Afrikaans	dsb	Lower Sorbian	2.615	Medium
afr	Afrikaans	ell	Modern Greek	1.235	High
afr	Afrikaans	eng	English	3.483	High
afr	Afrikaans	epo	Esperanto	4.390	High
afr	Afrikaans	esu	Central Yupik	0.218	Low
afr	Afrikaans	eus	Basque	2.228	High
afr	Afrikaans	evn	Evenki	0.238	Low
afr	Afrikaans	ewe	Ewe	0.429	Low
afr	Afrikaans	ext	Extremaduran	0.496	Low
afr	Afrikaans	fao	Faroese	4.912	Medium
afr	Afrikaans	fas	Persian	0.332	High
afr	Afrikaans	fij	Fijian	0.494	Low
afr	Afrikaans	fin	Finnish	1.559	High
afr	Afrikaans	fra	French	2.879	High
afr	Afrikaans	frp	Arpitan	0.354	Low
afr	Afrikaans	frr	Northern Frisian	3.399	Low
afr	Afrikaans	fry	Western Frisian	9.655	Medium
afr	Afrikaans	fur	Friulian	3.212	Medium
afr	Afrikaans	gag	Gagauz	0.955	Low
afr	Afrikaans	gcf	Guadeloupean Creole French	0.622	Low
afr	Afrikaans	gil	Gilbertese	0.386	Low
afr	Afrikaans	gla	Scottish Gaelic	1.708	Medium
afr	Afrikaans	gle	Irish	2.474	Medium
afr	Afrikaans	glg	Galician	2.944	High
afr	Afrikaans	glv	Manx	0.854	Medium
afr	Afrikaans	grc	Ancient Greek	1.198	Medium
afr	Afrikaans	gsw	Swiss German	1.645	Low
afr	Afrikaans	guj	Gujarati	1.455	High
afr	Afrikaans	hat	Haitian	2.556	Medium
afr	Afrikaans	hau	Hausa	0.420	Medium
afr	Afrikaans	haw	Hawaiian	0.252	Medium
afr	Afrikaans	heb	Hebrew	0.629	High
afr	Afrikaans	hif	Fiji Hindi	1.198	Low
afr	Afrikaans	hil	Hiligaynon	0.492	Medium
afr	Afrikaans	hin	Hindi	1.236	High
afr	Afrikaans	hrv	Croatian	2.227	High
afr	Afrikaans	hsb	Upper Sorbian	1.786	Medium
afr	Afrikaans	hun	Hungarian	2.733	High
afr	Afrikaans	hye	Armenian	1.200	Medium
afr	Afrikaans	ibo	Igbo	0.337	Low
afr	Afrikaans	ilo	Iloko	0.351	Low
afr	Afrikaans	ind	Indonesian	1.395	High
afr	Afrikaans	isl	Icelandic	2.800	High
afr	Afrikaans	ita	Italian	3.333	High
afr	Afrikaans	izh	Ingrian	0.675	Low
afr	Afrikaans	jam	Jamaican Creole English	1.830	Low
afr	Afrikaans	jav	Javanese	0.497	Low
afr	Afrikaans	jpn	Japanese	1.367	High
afr	Afrikaans	kaa	Kara-Kalpak	0.588	Low
afr	Afrikaans	kal	Kalaallisut	0.857	Medium
afr	Afrikaans	kam	Kamba	0.206	Low
afr	Afrikaans	kan	Kannada	0.671	High
afr	Afrikaans	kas	Kashmiri	0.925	Medium
afr	Afrikaans	kat	Georgian	1.463	Medium
afr	Afrikaans	kaz	Kazakh	1.723	Medium
afr	Afrikaans	ket	Ket	0.199	Low
afr	Afrikaans	khm	Khmer	0.457	Medium
afr	Afrikaans	kik	Kikuyu	0.140	Low
afr	Afrikaans	kin	Kinyarwanda	0.482	Medium
afr	Afrikaans	kir	Kirghiz	1.614	Medium
afr	Afrikaans	kjh	Khakas	0.435	Low
afr	Afrikaans	kmr	Northern Kurdish	1.570	Medium
afr	Afrikaans	koi	Komi-Permyak	0.285	Low
afr	Afrikaans	kok	Konkani	1.146	High
afr	Afrikaans	kor	Korean	0.615	High
afr	Afrikaans	krc	Karachay-Balkar	0.434	Medium
afr	Afrikaans	kri	Krio	0.883	Low
afr	Afrikaans	krl	Karelian	0.918	Low
afr	Afrikaans	ksh	Kölsch	2.087	Medium
afr	Afrikaans	kum	Kumyk	0.440	Medium
afr	Afrikaans	lad	Ladino	0.469	Low
afr	Afrikaans	lao	Lao	0.344	Medium
afr	Afrikaans	lat	Latin	3.223	High
afr	Afrikaans	lez	Lezghian	0.407	Low
afr	Afrikaans	lij	Ligurian	1.008	Medium
afr	Afrikaans	lim	Limburgan	5.193	Medium
afr	Afrikaans	lin	Lingala	0.984	Low
afr	Afrikaans	lit	Lithuanian	2.563	High
afr	Afrikaans	liv	Liv	1.127	Low
afr	Afrikaans	lld	Ladin	0.725	Low
afr	Afrikaans	lmo	Lombard	1.448	Low
afr	Afrikaans	ltg	Latgalian	0.753	Medium
afr	Afrikaans	ltz	Luxembourgish	7.032	Medium
afr	Afrikaans	lug	Ganda	0.211	Medium
afr	Afrikaans	luo	Luo	0.822	Medium
afr	Afrikaans	lus	Lushai	0.068	Medium
afr	Afrikaans	lzz	Laz	0.465	Low
afr	Afrikaans	mal	Malayalam	0.815	High
afr	Afrikaans	mar	Marathi	0.590	Medium
afr	Afrikaans	mdf	Moksha	0.723	Medium
afr	Afrikaans	mel	Central Melanau	0.253	Low
afr	Afrikaans	mer	Meru	0.326	Low
afr	Afrikaans	mhn	Mócheno	1.505	Low
afr	Afrikaans	mhr	Eastern Mari	0.740	Medium
afr	Afrikaans	mkd	Macedonian	3.064	Medium
afr	Afrikaans	mlt	Maltese	3.186	Medium
afr	Afrikaans	mni	Manipuri	0.614	Medium
afr	Afrikaans	mon	Mongolian	0.527	High
afr	Afrikaans	mri	Maori	0.384	Medium
afr	Afrikaans	msa	Malay	1.338	High
afr	Afrikaans	mvi	Miyako	0.341	Low
afr	Afrikaans	mwl	Mirandese	1.197	Low
afr	Afrikaans	mya	Burmese	0.515	Medium
afr	Afrikaans	myv	Erzya	0.618	Medium
afr	Afrikaans	mzn	Mazanderani	0.240	Low
afr	Afrikaans	nan	Min Nan Chinese	0.085	Medium
afr	Afrikaans	nap	Neapolitan	2.095	Medium
afr	Afrikaans	nau	Nauru	0.318	Low
afr	Afrikaans	nav	Navajo	0.240	Medium
afr	Afrikaans	nds	Low German	4.921	Medium
afr	Afrikaans	nep	Nepali	0.932	High
afr	Afrikaans	nld	Dutch	8.620	High
