,问卷呈现,对应的现代人际关系,古代人際關係名稱_文言,query
46,继父母-子女,继父继母-儿女,繼父母與子女,繼父母與子女之間
47,继祖父母-继孙,继祖父母 - 继孙,繼祖父母與繼孫,繼祖父母與繼孫之間
48,养父母-子女,寄养父母 - 寄养子女,養父母與子女,養父母與子女之間
49,师生之间,老师-学生,師生之間,師生之間
50,家庭私塾教师-学生,家教-学生,家庭私塾教師與學生,家庭私塾教師與學生之間
51,小人之交,假朋友之间（表面朋友，实则讨厌对方）,小人之交,小人之交之間
52,佛教徒之间,教徒之间,佛教徒之間,佛教徒之間
54,发小之间,童年玩伴之间,發小之間,發小之間
56,土籍人士-客籍人士,外地人-本地人,土籍人士與客籍人士,土籍人士與客籍人士之間
57,外公外婆-外孙/外孙女,外公外婆-外孙/外孙女,外祖父母與外孫/外孫女,外祖父母與外孫/外孫女之間
58,门当户对的订婚男女之间,未婚夫-未婚妻,門當戶對之訂婚男女,門當戶對之訂婚男女之間
61,同门师兄弟之间,校友之间,同門師兄弟之間,同門師兄弟之間
63,学府书院的负责人与教师之间,校长-老师,學府書院之山長與講席,學府書院之山長與講席之間
64,同父同母的子女之间,亲兄弟姐妹之间,同父同母之子女,同父同母之子女之間
65,戏班-剧作者,演员-编剧,戲班與劇作者,戲班與劇作者之間
66,戏子-观众,演员-观众,戲子與看官,戲子與看官之間
67,音乐曲艺人-听众,演奏家 - 听众,音樂曲藝人與聽眾,音樂曲藝人與聽眾之間
68,祖孙之间,爷爷奶奶-孙子女,祖孫之間,祖孫之間
69,大夫-病人,主治医生-病人,大夫與病者,大夫與病者之間
70,姨父姨妈-侄子侄女,姨父姨妈-侄子侄女,姨父姨母與侄子侄女,姨父姨母與侄子侄女之間
71,行侠仗义之人-受助者,见义勇为者-受助者,行俠仗義者與受助者,行俠仗義者與受助者之間
72,嫖客-妓女,金主 - 援交男/女,嫖客與妓女,嫖客與妓女之間
73,掌柜-店主,经理-老板,掌櫃與店主,掌櫃與店主之間
74,掌柜-伙计,经理-员工,掌櫃與夥計,掌櫃與夥計之間
75,捐助者-受惠者,捐款人-受惠者,捐助者與受惠者,捐助者與受惠者之間
76,将领-士兵,军官-部下,將領與士兵,將領與士兵之間
77,考官-考生,考官-考生,考官與考生,考官與考生之間
78,老师-家长,老师-家长,師長與家長,師長與家長之間
79,同乡之间,老乡之间,同鄉之間,同鄉之間
80,邻里之间,邻居之间,鄰裡之間,鄰裡之間
81,旅途同行人之间,旅伴之间,相與出行者之間,相與出行者之間
82,卖家-买家,卖家-买家,買者與賣者,買者與賣者之間
83,路人之间,陌生人之间,行人之間,行人之間
84,狐朋狗友之间,玩伴之间,狐朋狗黨之間,狐朋狗黨之間
85,普通朋友之间,朋友之间,泛泛之交之間,泛泛之交之間
86,故旧朋友之间,老朋友之间,故舊之間,故舊之間
87,挚友之间,挚友之间,摯友之間,摯友之間
88,知己之间,知己之间,知己之間,知己之間
89,乞丐-路人,乞丐-路人,乞丐與行人之間,乞丐與行人之間
90,前任官员-现任官员,前任官员-现任官员,新故吏之間,新故吏之間
91,牢头-囚犯,狱警-囚犯,獄卒與囚犯,獄卒與囚犯之間
92,原告-被告,原告-被告,告劾者與被告者,告劾者與被告者之間
94,妻子和外妇（非妾）之间,原配-第三者,妻與外婦之間,妻與外婦之間
95,丈夫-外妇,出轨者-小三,夫與外婦之間,夫與外婦之間
96,远亲之间,远房亲戚之间,遠親之間,遠親之間
97,岳父岳母-女婿,岳父岳母-女婿,岳家與子婿之間,岳家與子婿之間
98,同袍（战友）之间,战友之间,同袍之間,同袍之間
99,官民之间,政府官员-老百姓,官民之間,官民之間
100,敌对朋党之间,政治对手之间,敵對黨派之間,敵對黨派之間
101,同盟朋党之间,政治盟友之间,同盟黨派之間,同盟黨派之間
102,掮客-客户,中介-客户,保人與顧主之間,保人與顧主之間
103,忠臣-逆贼,忠臣-反贼,忠臣與逆賊,忠臣與逆賊之間
104,主人-客人,主人-客人,主人與賓客,主人與賓客之間
105,主人-奴婢,主人-仆人,主奴之間,主奴之間
106,奶妈-家长,保姆-雇主,乳母與家長,乳母與家長之間
107,奶妈-小孩,保姆-小孩,乳母與嬰幼,乳母與嬰幼之間
108,正职-副职,主职-副职,正職與副職,正職與副職之間
109,教首(教主)-教徒,宗教领袖 - 信徒,教首與教徒,教首與教徒之間
110,祖先-后代,祖先-后代,祖先與後代,祖先與後代之間
111,保长(坊长)-居民,居委会-居民,保長與居民,保長與居民之間
112,远房表兄弟姐妹之间,远房表兄弟姐妹之间,遠房表親之間,遠房表親之間
113,君臣之间,君臣之间,君臣之間,君臣之間
114,债主-欠债人,债主-欠债人,債主與負債者,債主與負債者之間
115,亲家之间,亲家之间,親家之間,親家之間
116,讼师(状师)-司法人员,律师-法官,訟師與司法者,訟師與司法者之間
117,讼师(状师)-委托人,律师-委托人,訟師與屬者,訟師與屬者之間
118,捕快-百姓,警察-老百姓,捕快與百姓,捕快與百姓之間
119,嫌犯-捕快,嫌疑人-警察,疑犯與捕快,疑犯與捕快之間
120,罪犯-人质,罪犯 - 人质,罪犯與人質,罪犯與人質之間
121,罪犯-被害人亲属,罪犯-被害人亲属,罪犯與苦主,罪犯與苦主之間
122,罪犯-旁观者,罪犯-旁观者,罪犯與旁人,罪犯與旁人之間
123,小偷-失主,小偷-失主,盜賊與失主,盜賊與失主之間
124,罪犯-受害人,罪犯-受害人,罪犯與受害者,罪犯與受害者之間
125,司法人员-监察人员,法官-检察官,司法者與監察者,司法者與監察者之間
126,犯罪同伙之间,犯罪同伙之间,罪犯同黨之間,罪犯同黨之間
127,赌徒之间,赌徒之间,賭徒之間,賭徒之間
128,作家-读者,作家-读者,文人與閱者,文人與閱者之間
129,作家-评论家,作家-评论家,文人與論者,文人與論者之間
