,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1.1,Q3,Q4,Q5,Q5.1,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q15.1,dynasty,Dynasty,Group
10,2023/9/19 22:12,2023/9/19 22:19,IP Address,112.224.198.195,100,448,TRUE,2023/9/19 22:19,R_1Kveywa69UwiMe4,,,,,35.0624,118.3364,anonymous,ZH-S,愿意,38,30,男,汉族,,北京师范大学,汉语言文学,2014级硕士,古代汉语,每月至少会有几天阅读,先秦，唐宋,中华字库工程,农村,山东省,是,,春秋战国（先秦）,春秋战国（先秦）,G1
11,2023/9/19 22:25,2023/9/19 22:28,IP Address,223.104.41.240,100,174,TRUE,2023/9/19 22:28,R_21t8hrIMEGDFL0I,,,,,39.911,116.395,anonymous,ZH-S,愿意,32,23,女,汉族,,北京师范大学,汉语言文字学,2022硕士,汉语史,几乎每天都会阅读,春秋战国,古代汉语词汇语义研究,城市,山东省,是,,春秋战国（先秦）,春秋战国（先秦）,G1
12,2023/9/19 22:20,2023/9/19 22:29,IP Address,223.104.41.99,100,532,TRUE,2023/9/19 22:29,R_OD1Nv2hKq0sgOFb,,,,,39.911,116.395,anonymous,ZH-S,愿意,31,28,女,汉族,,北京师范大学,中国古代文学,2021级博士,唐宋文学,几乎每天都会阅读,唐宋,宋诗中的“游观”，通俗而言即“边走边看”“且行且观”,城市,福建省,是,,唐宋,唐宋,G3
13,2023/9/19 22:25,2023/9/19 22:34,IP Address,23.247.137.61,100,594,TRUE,2023/9/19 22:34,R_3MEfveXSL1sShvV,,,,,37.1835,-121.7714,anonymous,ZH-S,愿意,26,29,男,汉族,,中国人民大学,中国古典文献学,2022级博士,经学文献学,几乎每天都会阅读,清,"《郑志》相关研究
",农村,湖南省,是,,元明清,元明清,G1
14,2023/9/19 22:28,2023/9/19 22:36,IP Address,180.98.9.54,100,486,TRUE,2023/9/19 22:36,R_2Totq3mNSMs1DUu,,,,,32.0264,120.8647,anonymous,ZH-S,愿意,41,27,女,汉族,,扬州大学,中国史,2021级博士,清史 政治史,几乎每天都会阅读,清,对清代候补官及同官录的调察,城市,新疆维吾尔自治区,是,,元明清,元明清,G2
15,2023/9/19 22:32,2023/9/19 22:40,IP Address,36.112.3.211,100,488,TRUE,2023/9/19 22:40,R_2qltJs0XoBZ8fje,,,,,39.911,116.395,anonymous,ZH-S,愿意,42,21,女,汉族,,中国人民大学,国学古典学,2020级本科,中国古代文学（明清小说）,每周都会阅读,明清,之前学年论文研究明代通俗小说“三言”的梦叙事，主要从全知视角和限知视角来研究小说中的梦叙事。近期在搜集魏晋志怪志人小说、唐传奇以及明清小说等梦叙事，包括笔记小说，尝试看梦叙事的故事情节、结构的发展变化。,城市,广东省,是,,元明清,元明清,G2
16,2023/9/19 22:38,2023/9/19 22:43,IP Address,1.202.143.77,100,283,TRUE,2023/9/19 22:43,R_1DAUvuyfd2zBZ7m,,,,,39.911,116.395,anonymous,ZH-S,愿意,47,23,男,汉族,,中国政法大学,中国史,2022级硕士,历史文献学,每月至少会有几天阅读,清朝,以碑刻作为主要材料，探究示禁碑与清朝地方治理的关系。,城市,北京市,是,,元明清,元明清,G3
17,2023/9/19 22:41,2023/9/19 22:49,IP Address,182.118.236.176,100,466,TRUE,2023/9/19 22:49,R_1Hehp7ww8wpFlvt,,,,,34.7599,113.6459,anonymous,ZH-S,愿意,8,24,女,汉族,,河南理工大学,文字学,2022级硕士,敦煌文献与佛经,几乎每天都会阅读,唐宋,佛经对堪,农村,河南省,是,,唐宋,唐宋,G3
18,2023/9/19 22:17,2023/9/19 22:58,IP Address,36.112.3.15,100,2473,TRUE,2023/9/19 22:58,R_1OQbFQDEosXf5Du,,,,,39.911,116.395,anonymous,ZH-S,愿意,10,25,男,汉族,,中国人民大学,语言学,2023级博士,历史句法,几乎每天都会阅读,唐,近代汉语句法语义演变,城市,陕西省,是,,唐宋,唐宋,G3
19,2023/9/19 23:01,2023/9/19 23:07,IP Address,36.112.193.141,100,339,TRUE,2023/9/19 23:07,R_2QDjimFPb3VpMGI,,,,,39.911,116.395,anonymous,ZH-S,愿意,29,24,女,汉族,,北京师范大学,中国古代文学,2023级硕士,先秦两汉魏晋南北朝文学,每周都会阅读,先秦,《左传》研读、欧苏文学接受史演变,城市,北京市,是,,春秋战国（先秦）,春秋战国（先秦）,G2
20,2023/9/19 23:01,2023/9/19 23:13,IP Address,111.205.233.132,100,724,TRUE,2023/9/19 23:13,R_2OTosCCXL2IXMJ8,,,,,39.911,116.395,anonymous,ZH-S,愿意,37,30,女,汉族,,北京大学,汉语言文字学,2020级博士,汉语史,几乎每天都会阅读,先秦两汉,阅读《论衡校释》，关注里面难解的字词和特殊的语法现象。,城市,四川省,是,,春秋战国（先秦）,春秋战国（先秦）,G2
21,2023/9/19 23:09,2023/9/19 23:13,IP Address,36.112.3.54,100,224,TRUE,2023/9/19 23:13,R_2e9AwTQvaByXlUQ,,,,,39.911,116.395,anonymous,ZH-S,愿意,17,28,女,汉族,,中国人民大学,文献学,2022级博士,先秦经典,每周都会阅读,先秦,研读《尚书》《逸周书》与清华简中的书类文献。,城市,北京市,是,,春秋战国（先秦）,春秋战国（先秦）,G2
22,2023/9/19 23:03,2023/9/19 23:14,IP Address,124.127.67.15,100,677,TRUE,2023/9/19 23:14,R_pn0wMTwfFZB6Ui5,,,,,39.911,116.395,anonymous,ZH-S,愿意,27,23,女,汉族,,北京师范大学,中国古代文学,2022级硕士,元明清文学,每周都会阅读,明清,明末清初传奇风情剧、清初文人传奇创作等,城市,北京市,是,,元明清,元明清,G3
23,2023/9/19 23:24,2023/9/19 23:26,IP Address,219.142.99.22,100,127,TRUE,2023/9/19 23:26,R_1hMt5dDTGJzMlfk,,,,,39.911,116.395,anonymous,ZH-S,愿意,4,25,女,汉族,,北京师范大学,汉语言文字学,2022级硕士,训诂学,几乎每天都会阅读,先秦、清代,清代词源学研究,城市,山东省,是,,春秋战国（先秦）,春秋战国（先秦）,G3
24,2023/9/19 23:56,2023/9/20 0:01,IP Address,223.104.40.223,100,287,TRUE,2023/9/20 0:01,R_1CxpLxmReFQFTNK,,,,,39.911,116.395,anonymous,ZH-S,愿意,48,26,女,汉族,,中国人民大学,中国语言文学,2022级硕士,汉语言文字学,每周都会阅读,秦汉,古代汉语语法,农村,内蒙古自治区,是,,秦汉,秦汉,G1
25,2023/9/20 7:10,2023/9/20 7:12,IP Address,203.93.11.25,100,137,TRUE,2023/9/20 7:12,R_8HsppkrBC61k0Ex,,,,,39.911,116.395,anonymous,ZH-S,愿意,16,26,女,汉族,,北京大学,古代文学,2022级博士,明清小说,几乎每天都会阅读,明清,宋代说话伎艺,城市,山东省,是,,元明清,元明清,G3
26,2023/9/19 23:05,2023/9/20 7:30,IP Address,114.255.218.25,100,30317,TRUE,2023/9/20 7:30,R_2Sr7j3tIva1FFo4,,,,,39.911,116.395,anonymous,ZH-S,愿意,5,24,女,汉族,,北京师范大学,汉语言文字学,2022级硕士,古代汉语,几乎每天都会阅读,先秦两汉,《说文解字》相关专题研究,农村,内蒙古自治区,是,,春秋战国（先秦）,春秋战国（先秦）,G3
27,2023/9/20 9:06,2023/9/20 9:10,IP Address,36.112.3.99,100,217,TRUE,2023/9/20 9:10,R_3MmS1243YYQlyjD,,,,,39.911,116.395,anonymous,ZH-S,愿意,45,23,女,汉族,,中国人民大学,中国古代史,2022级硕士,秦汉史,几乎每天都会阅读,秦汉,秦汉时期边地的刑役活动,城市,北京市,是,,秦汉,秦汉,G2
28,2023/9/20 9:25,2023/9/20 9:27,IP Address,36.112.3.106,100,97,TRUE,2023/9/20 9:27,R_7ND2DvBozU1n1qp,,,,,39.911,116.395,anonymous,ZH-S,愿意,13,22,男,汉族,,中国人民大学,国学,2020级本科,明清文学,每周都会阅读,明清,明清易代之际文人心态变化,农村,湖北省,是,,元明清,元明清,G4
29,2023/9/20 9:28,2023/9/20 9:33,IP Address,36.112.3.119,100,333,TRUE,2023/9/20 9:33,R_SMKoarLm7B296XD,,,,,39.911,116.395,anonymous,ZH-S,愿意,36,23,女,汉族,,中国人民大学,中国古代文学,2023级硕士,明清文学,几乎每天都会阅读,明,明末词坛研究,城市,北京市,是,,元明清,元明清,G4
30,2023/9/20 10:18,2023/9/20 10:24,IP Address,111.205.233.196,100,365,TRUE,2023/9/20 10:24,R_r211q6cOLCcZePn,,,,,39.911,116.395,anonymous,ZH-S,愿意,30,26,女,汉族,,北京大学,中国古典文献学,2022级博士,明清文学,几乎每天都会阅读,明代,明清文学,城市,四川省,是,,元明清,元明清,G4
31,2023/9/20 10:54,2023/9/20 10:58,IP Address,36.110.167.252,100,219,TRUE,2023/9/20 10:58,R_22F7BzLoUfyqLbY,,,,,39.911,116.395,anonymous,ZH-S,愿意,40,27,男,汉族,,北京师范大学,古代汉语,2021级博士,说文学,几乎每天都会阅读,先秦,海外汉字学研究，梳理西方汉字研究学术史。,城市,河北省,是,,春秋战国（先秦）,春秋战国（先秦）,G3
32,2023/9/19 22:27,2023/9/20 10:58,IP Address,223.104.41.73,100,45076,TRUE,2023/9/20 10:58,R_245Y7YoCogtAFAL,,,,,39.911,116.395,anonymous,ZH-S,愿意,7,24,女,汉族,,北京大学,汉语言文字学,2022级硕士,汉语史,每周都会阅读,先秦两汉,上古音,城市,江苏省,是,,春秋战国（先秦）,春秋战国（先秦）,G4
33,2023/9/20 10:54,2023/9/20 10:59,IP Address,223.104.41.215,100,316,TRUE,2023/9/20 10:59,R_1ooFnDVwty054so,,,,,39.911,116.395,anonymous,ZH-S,愿意,24,23,女,汉族,,北京师范大学,中国古典文献学,2022级硕士,先秦黄老道,几乎每天都会阅读,春秋战国,研究马王堆汉墓帛书《黄帝四经》的篇章形成,城市,山东省,是,,春秋战国（先秦）,春秋战国（先秦）,G4
34,2023/9/20 10:51,2023/9/20 10:59,IP Address,223.104.41.192,100,510,TRUE,2023/9/20 10:59,R_31RTJhtnN1FMZpL,,,,,39.911,116.395,anonymous,ZH-S,愿意,2,25,女,汉族,,中国社会科学院大学,中国古典文献学,2023级博士,元明清文学文献,几乎每天都会阅读,元,元代杭州运河诗歌研究,城市,江西省,是,,元明清,元明清,G5
35,2023/9/20 10:54,2023/9/20 11:00,IP Address,202.112.90.113,100,341,TRUE,2023/9/20 11:00,R_yvCLB7lP934RFVn,,,,,34.7732,113.722,anonymous,ZH-S,愿意,9,26,女,汉族,,北京师范大学,中国古代文学,2023级博士,元明清文学,几乎每天都会阅读,明清,古代小说研究，主要集中在小说生活场景与名物知识。,城市,广东省,是,,元明清,元明清,G5
36,2023/9/20 11:28,2023/9/20 11:32,IP Address,219.142.99.19,100,218,TRUE,2023/9/20 11:32,R_3h3zmYxlBcaqwZM,,,,,39.911,116.395,anonymous,ZH-S,愿意,1,22,女,汉族,,北京师范大学,汉语言文字学,2023级硕士,汉字学,每周都会阅读,汉代,阅读《说文解字注》，整理《说文》部首的历代字形演变。,城市,广东省,是,,秦汉,秦汉,G3
37,2023/9/20 11:41,2023/9/20 11:45,IP Address,116.162.133.158,100,224,TRUE,2023/9/20 11:45,R_3gZ5bKvEEVOZ1Z7,,,,,28.2014,112.9611,anonymous,ZH-S,愿意,23,24,女,汉族,,湖南大学,汉语言文字学,2021级硕士,古文字学,几乎每天都会阅读,先秦两汉,秦汉时期律令研究,城市,广东省,是,,春秋战国（先秦）,春秋战国（先秦）,G5
38,2023/9/20 18:31,2023/9/20 18:34,IP Address,124.127.223.210,100,149,TRUE,2023/9/20 18:34,R_0AKiBE8RpXJyMUh,,,,,39.911,116.395,anonymous,ZH-S,愿意,43,23,女,汉族,,中国人民大学,国学（中国古典文献学）,2022级硕士,四库、小说文献,每周都会阅读,唐宋,古代小说、集部文献版本研究,城市,北京市,是,,唐宋,唐宋,G4
39,2023/9/20 18:16,2023/9/20 18:34,IP Address,117.136.104.216,100,1098,TRUE,2023/9/20 18:34,R_3e3thO6nsQw7dgl,,,,,34.7599,113.6459,anonymous,ZH-S,愿意,3,33,男,汉族,,北京师范大学,汉语言文字学,2016级博士,汉字学,几乎每天都会阅读,汉代,《段注》整理,城市,河南省,是,,秦汉,秦汉,G4
40,2023/9/20 18:33,2023/9/20 18:39,IP Address,221.216.116.134,100,343,TRUE,2023/9/20 18:39,R_2Bh2axZyVB1WWCe,,,,,39.911,116.395,anonymous,ZH-S,愿意,18,27,女,汉族,,北京师范大学,中国古代文学,23级博士,唐宋文学专业,几乎每天都会阅读,唐宋两代,南宋散文，陆游诗文集,城市,吉林省,是,,唐宋,唐宋,G4
41,2023/9/20 18:53,2023/9/20 18:57,IP Address,210.31.76.8,100,205,TRUE,2023/9/20 18:57,R_3hcHGNm5TF6C69O,,,,,34.7732,113.722,anonymous,ZH-S,愿意,11,22,女,汉族,,北京师范大学,汉语言文字学,2023级硕士,汉语史,很少主动阅读，只在导师要求或研究必要时,唐代,参与老师课题，梳理词义演变的过程和原因，以及相关文化故事,城市,北京市,是,,唐宋,唐宋,G4
42,2023/9/20 18:25,2023/9/20 18:58,IP Address,36.112.207.15,100,1955,TRUE,2023/9/20 18:58,R_2zvZsqrSRPgl1FX,,,,,39.911,116.395,anonymous,ZH-S,愿意,44,24,女,汉族,,中国人民大学,国学,22硕,古文字,几乎每天都会阅读,五代十国、宋,写论文,城市,北京市,是,,唐宋,唐宋,G5
43,2023/9/20 19:11,2023/9/20 19:14,IP Address,36.112.3.29,100,180,TRUE,2023/9/20 19:14,R_3dTbcKVLVV70PrM,,,,,39.911,116.395,anonymous,ZH-S,愿意,21,27,男,汉族,,中国人民大学,中国古代史,2021级博士,秦汉史,几乎每天都会阅读,汉代,战国秦汉民间的社会交往，人情概念的形成,农村,浙江省,是,,秦汉,秦汉,G5
44,2023/9/19 22:43,2023/9/20 19:16,IP Address,110.176.49.58,100,74016,TRUE,2023/9/20 19:16,R_2EjmyXt2BVAFjjZ,,,,,37.6524,112.7527,anonymous,ZH-S,愿意,14,27,男,汉族,,中国社会科学院大学,中国少数民族语言文学,2021级博士,西夏学,偶尔翻阅，没有固定频率,汉代,最近的研究主要集中在西夏时期的佛教文献研究当中，利用文献语言学的诸种方法对其进行解读，并且判断诸种版本之间的关系。,农村,山西省,是,,秦汉,秦汉,G5
45,2023/9/20 18:28,2023/9/20 19:34,IP Address,223.104.41.189,100,3958,TRUE,2023/9/20 19:34,R_3jcAnzMpIVS7auL,,,,,39.911,116.395,anonymous,ZH-S,愿意,28,24,女,汉族,,北京师范大学,汉语言文字学,2022级硕士,训诂学,每周都会阅读,清代,"江西诗派的接受和影响研究
",城市,湖北省,是,,元明清,元明清,G5
46,2023/9/20 20:13,2023/9/20 20:16,IP Address,203.138.98.199,100,224,TRUE,2023/9/20 20:16,R_9KpjVjDt2ZPWLoR,,,,,26.2124,127.6757,anonymous,ZH-S,愿意,33,22,女,汉族,,中国人民大学,国学,23硕,中国古代文学,几乎每天都会阅读,宋,王安石诗歌研究,城市,江西省,是,,唐宋,唐宋,G5
47,2023/9/20 23:13,2023/9/20 23:20,IP Address,219.142.99.30,100,476,TRUE,2023/9/20 23:20,R_3Eh6nleBD31WNfW,,,,,39.911,116.395,anonymous,ZH-S,愿意,49,24,女,汉族,,北京师范大学,中国古代文学,2021级硕士,先秦两汉文学,每月至少会有几天阅读,春秋战国,类型化视角下的越灭吴故事研究,城市,山西省,是,,春秋战国（先秦）,春秋战国（先秦）,G5
